# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 1.091888100504925622e-03 1.168650226481522339e-04
3.531299999999999883e+00 9.814217074904678026e-04 1.031451420875901230e-04
4.445700000000000429e+00 6.000135469910586111e-04 9.678889103685760155e-05
5.596799999999999997e+00 4.782918151658557067e-04 6.662252216287500460e-05
7.046000000000000263e+00 3.428671220285353432e-04 6.498557188760495536e-05
8.870300000000000296e+00 2.688841487875196271e-04 5.020113127494935546e-05
1.116699999999999982e+01 2.653021861374138340e-04 4.023210136813358350e-05
1.405899999999999928e+01 2.242168167058325294e-04 3.797914831410887510e-05
1.769900000000000162e+01 1.264589429727150773e-04 3.081537728575216214e-05
2.228099999999999881e+01 1.253023557241000657e-04 2.232665578150651686e-05
2.805000000000000071e+01 1.443998507298436651e-04 2.032472954671537418e-05
3.531300000000000239e+01 9.644096078112049332e-05 1.861490710515175707e-05
4.445700000000000074e+01 6.348037161396892167e-05 1.733327256684632603e-05
5.596800000000000352e+01 5.292628820219828648e-05 1.356115505681345093e-05
7.045999999999999375e+01 6.629720963303160192e-05 1.423525279801961049e-05
8.870300000000000296e+01 4.443576922961977731e-05 1.500081720702734632e-05
1.116700000000000017e+02 3.913142373450514098e-05 1.247973416573559250e-05
1.405900000000000034e+02 2.407649573485621202e-05 1.240279182669880797e-05
1.769900000000000091e+02 2.846143059410422376e-05 1.484229433606637855e-05
2.228100000000000023e+02 1.023195864753706384e-05 1.449769313257301375e-05
