# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 4.353124969449697552e-06 1.315441475148452415e-04
3.531299999999999883e+00 -1.748221108215790060e-04 1.122555418245726506e-04
4.445700000000000429e+00 1.031460060805545353e-04 9.081718543084112746e-05
5.596799999999999997e+00 2.676917008535898535e-05 7.053386590796484844e-05
7.046000000000000263e+00 -5.724099102273976332e-05 5.920632575679279230e-05
8.870300000000000296e+00 6.984034982137025808e-05 4.780414781016239638e-05
1.116699999999999982e+01 2.131032344387933321e-05 4.320363019144779916e-05
1.405899999999999928e+01 -3.406286592516222922e-06 3.413687490788706435e-05
1.769900000000000162e+01 -4.411815772984167460e-06 2.786608921289466769e-05
2.228099999999999881e+01 1.127033816857720835e-06 2.258450974284192990e-05
2.805000000000000071e+01 5.065203342294691934e-06 1.831970273628120296e-05
3.531300000000000239e+01 2.135433415417307748e-05 1.655127050266042330e-05
4.445700000000000074e+01 2.382802209750098650e-06 1.456078262345826405e-05
5.596800000000000352e+01 -8.031775769894595115e-06 1.472674611893695287e-05
7.045999999999999375e+01 -1.108766646202091351e-05 1.073272028344895685e-05
8.870300000000000296e+01 -1.130548423863634388e-05 9.160013003561513618e-06
1.116700000000000017e+02 -7.701874132977674735e-06 1.106350465016579459e-05
1.405900000000000034e+02 2.128572478285230878e-06 7.685189669019863162e-06
1.769900000000000091e+02 -8.993238113561921880e-06 6.285629394443324461e-06
2.228100000000000023e+02 -9.383614622972310105e-06 7.265851513371746612e-06
