# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 6.519957901397032130e-01 8.214131814461183775e-03
3.531299999999999883e+00 6.589405420923170054e-01 8.687421234178890547e-03
4.445700000000000429e+00 6.645301367868660103e-01 7.694360371479098265e-03
5.596799999999999997e+00 6.627854836587001586e-01 7.257664505563629631e-03
7.046000000000000263e+00 6.607279621020362148e-01 7.566472643160290952e-03
8.870300000000000296e+00 6.625231206762901559e-01 6.688182536403083391e-03
1.116699999999999982e+01 6.628520463799701945e-01 6.650912302888935430e-03
1.405899999999999928e+01 6.586773840929552870e-01 6.654499927035784426e-03
1.769900000000000162e+01 6.594277436166108286e-01 6.463978660092541823e-03
2.228099999999999881e+01 6.614029758947032045e-01 6.417787835862360547e-03
2.805000000000000071e+01 6.600882491532065188e-01 6.348515537499543025e-03
3.531300000000000239e+01 6.613308750427330240e-01 6.020308348879304175e-03
4.445700000000000074e+01 6.604604687322750411e-01 5.999887709125475109e-03
5.596800000000000352e+01 6.599853974169168636e-01 6.088420632072614504e-03
7.045999999999999375e+01 6.588646941381627320e-01 5.902641773754665512e-03
8.870300000000000296e+01 6.593189771071293892e-01 5.617892363116015753e-03
1.116700000000000017e+02 6.587358327174200889e-01 5.267463567869916895e-03
1.405900000000000034e+02 6.595839663713395362e-01 4.548249244034167742e-03
1.769900000000000091e+02 6.591892142350782580e-01 4.272810081117984007e-03
2.228100000000000023e+02 6.580292388414171745e-01 4.298496683368652205e-03
