# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 6.632924115818824573e-01 7.021289325773242586e-03
3.531299999999999883e+00 6.619203448509202170e-01 6.539446191190165236e-03
4.445700000000000429e+00 6.633212510159868236e-01 7.009559633909448646e-03
5.596799999999999997e+00 6.617383119392868940e-01 6.834843524976731526e-03
7.046000000000000263e+00 6.623524509310285691e-01 6.753237507915459299e-03
8.870300000000000296e+00 6.631609552360145932e-01 6.678143805258170140e-03
1.116699999999999982e+01 6.625128109149708289e-01 6.655021316665289156e-03
1.405899999999999928e+01 6.615143480136971288e-01 6.479413960339379906e-03
1.769900000000000162e+01 6.619972283399745416e-01 6.460400863969120895e-03
2.228099999999999881e+01 6.612083617886749254e-01 6.443827254322816341e-03
2.805000000000000071e+01 6.608689226033749309e-01 6.320287490341816583e-03
3.531300000000000239e+01 6.615965765841776980e-01 6.245846377357697383e-03
4.445700000000000074e+01 6.606774876080552250e-01 6.193706889873614244e-03
5.596800000000000352e+01 6.601017354211267119e-01 6.182258643252262591e-03
7.045999999999999375e+01 6.589097839641931964e-01 6.096475119197167399e-03
8.870300000000000296e+01 6.585751256754984739e-01 5.887155375323041562e-03
1.116700000000000017e+02 6.580064473657007973e-01 5.454938385910106276e-03
1.405900000000000034e+02 6.584441688615704225e-01 4.840351643517007592e-03
1.769900000000000091e+02 6.576541981143533278e-01 4.404772023300409720e-03
2.228100000000000023e+02 6.571827833501284744e-01 4.361006372705277835e-03
