## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8332e+00   1.0395e+00   6.4539e-01   3.1683e-03   5.9473e+04   3.4948e+05
  3.5313e+00   3.5682e+00   1.2702e+00   6.4619e-01   2.5427e-03   9.2337e+04   5.4417e+05
  4.4457e+00   4.4917e+00   1.5004e+00   6.4563e-01   2.0246e-03   1.4564e+05   8.5835e+05
  5.5968e+00   5.6570e+00   1.7310e+00   6.4498e-01   1.6113e-03   2.2994e+05   1.3503e+06
  7.0460e+00   7.1214e+00   1.9612e+00   6.4588e-01   1.2811e-03   3.6377e+05   2.1305e+06
  8.8703e+00   8.9649e+00   2.1914e+00   6.4512e-01   1.0209e-03   5.7276e+05   3.3571e+06
  1.1167e+01   1.1288e+01   2.4218e+00   6.4480e-01   8.1260e-04   9.0410e+05   5.3022e+06
  1.4059e+01   1.4209e+01   2.6519e+00   6.4511e-01   6.4870e-04   1.4187e+06   8.3422e+06
  1.7699e+01   1.7886e+01   2.8821e+00   6.4477e-01   5.1669e-04   2.2362e+06   1.3133e+07
  2.2281e+01   2.2521e+01   3.1125e+00   6.4452e-01   4.1197e-04   3.5176e+06   2.0664e+07
  2.8050e+01   2.8351e+01   3.3427e+00   6.4450e-01   3.2895e-04   5.5170e+06   3.2459e+07
  3.5313e+01   3.5692e+01   3.5729e+00   6.4418e-01   2.6363e-04   8.5896e+06   5.0628e+07
  4.4457e+01   4.4917e+01   3.8028e+00   6.4366e-01   2.1177e-04   1.3312e+07   7.8399e+07
  5.5968e+01   5.6549e+01   4.0331e+00   6.4288e-01   1.7056e-04   2.0521e+07   1.2134e+08
  7.0460e+01   7.1179e+01   4.2632e+00   6.4242e-01   1.3762e-04   3.1521e+07   1.8710e+08
  8.8703e+01   8.9603e+01   4.4934e+00   6.4192e-01   1.1123e-04   4.8252e+07   2.8759e+08
  1.1167e+02   1.1277e+02   4.7234e+00   6.4134e-01   9.0450e-05   7.2972e+07   4.3738e+08
  1.4059e+02   1.4194e+02   4.9534e+00   6.4016e-01   7.3961e-05   1.0914e+08   6.5389e+08
  1.7699e+02   1.7852e+02   5.1827e+00   6.3878e-01   6.1413e-05   1.5829e+08   9.4513e+08
  2.2281e+02   2.2419e+02   5.4104e+00   6.3681e-01   5.3405e-05   2.0932e+08   1.2490e+09
