## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8357e+00   1.0404e+00  -3.2715e-03   5.9012e-03   9.1838e+02   6.1010e+03
  3.5313e+00   3.5658e+00   1.2695e+00  -1.6926e-03   4.8650e-03   1.3512e+03   9.1400e+03
  4.4457e+00   4.4889e+00   1.4997e+00   5.6749e-03   3.9920e-03   2.0069e+03   1.3916e+04
  5.5968e+00   5.6620e+00   1.7319e+00  -3.3480e-03   3.1834e-03   3.1558e+03   2.0884e+04
  7.0460e+00   7.1116e+00   1.9599e+00  -1.3390e-03   2.5392e-03   4.9603e+03   3.0861e+04
  8.8703e+00   8.9530e+00   2.1901e+00   3.2547e-03   2.0713e-03   7.4543e+03   4.5523e+04
  1.1167e+01   1.1263e+01   2.4196e+00   5.8612e-04   1.7570e-03   1.0360e+04   6.3750e+04
  1.4059e+01   1.4135e+01   2.6467e+00   1.8272e-03   1.4947e-03   1.4314e+04   8.2940e+04
  1.7699e+01   1.7886e+01   2.8821e+00   1.8928e-03   1.2986e-03   1.8965e+04   1.0896e+05
  2.2281e+01   2.2504e+01   3.1117e+00  -2.0303e-03   1.0687e-03   2.8003e+04   1.5488e+05
  2.8050e+01   2.8349e+01   3.3426e+00  -1.0000e-03   8.8373e-04   4.0951e+04   2.1083e+05
  3.5313e+01   3.5505e+01   3.5677e+00   5.8715e-04   7.7438e-04   5.3333e+04   2.5112e+05
  4.4457e+01   4.4713e+01   3.7982e+00  -9.0941e-06   7.1025e-04   6.3399e+04   2.7077e+05
  5.5968e+01   5.6549e+01   4.0331e+00   6.9980e-04   5.8499e-04   9.3456e+04   4.0113e+05
  7.0460e+01   7.1202e+01   4.2636e+00  -3.0382e-04   4.7237e-04   1.4333e+05   6.4971e+05
  8.8703e+01   8.9803e+01   4.4956e+00   1.6824e-03   3.7856e-04   2.2317e+05   1.0542e+06
  1.1167e+02   1.1349e+02   4.7297e+00   9.8486e-04   2.7496e-04   4.2303e+05   1.8769e+06
  1.4059e+02   1.4218e+02   4.9551e+00   9.0260e-04   2.0016e-04   7.9825e+05   3.6514e+06
  1.7699e+02   1.7815e+02   5.1805e+00   7.2981e-04   1.7435e-04   1.0522e+06   5.7202e+06
  2.2281e+02   2.2558e+02   5.4166e+00   8.4979e-04   1.4818e-04   1.4566e+06   8.4846e+06
