## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8325e+00   1.0393e+00   8.0168e-04   1.0304e-03   3.0974e+04   1.7632e+05
  3.5313e+00   3.5677e+00   1.2700e+00   1.1772e-03   8.2642e-04   4.8150e+04   2.7290e+05
  4.4457e+00   4.4910e+00   1.5002e+00   1.4556e-03   6.6268e-04   7.4885e+04   4.2615e+05
  5.5968e+00   5.6542e+00   1.7305e+00   1.7109e-03   5.3097e-04   1.1664e+05   6.6297e+05
  7.0460e+00   7.1214e+00   1.9612e+00   1.5840e-03   4.2356e-04   1.8330e+05   1.0393e+06
  8.8703e+00   8.9649e+00   2.1914e+00   1.5036e-03   3.3727e-04   2.8910e+05   1.6311e+06
  1.1167e+01   1.1286e+01   2.4216e+00   1.5300e-03   2.6970e-04   4.5209e+05   2.5642e+06
  1.4059e+01   1.4204e+01   2.6516e+00   1.0351e-03   2.1685e-04   6.9932e+05   3.9856e+06
  1.7699e+01   1.7887e+01   2.8821e+00   1.1306e-03   1.7354e-04   1.0920e+06   6.2048e+06
  2.2281e+01   2.2517e+01   3.1123e+00   9.0431e-04   1.3896e-04   1.7030e+06   9.6301e+06
  2.8050e+01   2.8341e+01   3.3424e+00   8.5323e-04   1.1208e-04   2.6178e+06   1.4728e+07
  3.5313e+01   3.5666e+01   3.5722e+00   8.2575e-04   9.1010e-05   3.9703e+06   2.2335e+07
  4.4457e+01   4.4895e+01   3.8024e+00   1.0194e-03   7.3976e-05   6.0092e+06   3.3871e+07
  5.5968e+01   5.6519e+01   4.0326e+00   1.0990e-03   6.0482e-05   8.9897e+06   5.0964e+07
  7.0460e+01   7.1140e+01   4.2627e+00   1.1857e-03   4.9592e-05   1.3371e+07   7.6215e+07
  8.8703e+01   8.9571e+01   4.4930e+00   1.3477e-03   4.0614e-05   1.9936e+07   1.1320e+08
  1.1167e+02   1.1285e+02   4.7241e+00   1.1197e-03   3.2938e-05   3.0311e+07   1.7166e+08
  1.4059e+02   1.4218e+02   4.9551e+00   8.1000e-04   2.6130e-05   4.8162e+07   2.7384e+08
  1.7699e+02   1.7873e+02   5.1839e+00   7.8958e-04   2.0835e-05   7.5754e+07   4.3147e+08
  2.2281e+02   2.2443e+02   5.4115e+00   5.5694e-04   1.7734e-05   1.0457e+08   5.9131e+08
