## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8325e+00   1.0393e+00  -3.5544e-04   1.1219e-03   2.6254e+04   1.6956e+05
  3.5313e+00   3.5664e+00   1.2697e+00  -7.4397e-04   9.0775e-04   4.0101e+04   2.5465e+05
  4.4457e+00   4.4913e+00   1.5003e+00  -7.3722e-04   7.3419e-04   6.1301e+04   3.8811e+05
  5.5968e+00   5.6536e+00   1.7304e+00  -3.4979e-04   5.9521e-04   9.3270e+04   5.8864e+05
  7.0460e+00   7.1169e+00   1.9606e+00   4.6850e-04   4.8185e-04   1.4232e+05   8.9247e+05
  8.8703e+00   8.9691e+00   2.1919e+00  -4.8214e-05   3.8694e-04   2.2069e+05   1.3873e+06
  1.1167e+01   1.1281e+01   2.4212e+00  -6.8948e-05   3.0707e-04   3.5043e+05   2.1993e+06
  1.4059e+01   1.4197e+01   2.6511e+00   1.0440e-04   2.4917e-04   5.3222e+05   3.3307e+06
  1.7699e+01   1.7885e+01   2.8820e+00  -9.7895e-05   2.0201e-04   8.0970e+05   5.0960e+06
  2.2281e+01   2.2508e+01   3.1119e+00   2.9094e-04   1.6226e-04   1.2551e+06   7.9306e+06
  2.8050e+01   2.8338e+01   3.3422e+00  -5.5594e-05   1.3180e-04   1.9021e+06   1.1978e+07
  3.5313e+01   3.5667e+01   3.5722e+00   1.5694e-04   1.0698e-04   2.8873e+06   1.8217e+07
  4.4457e+01   4.4908e+01   3.8026e+00   1.2560e-04   8.6690e-05   4.3969e+06   2.7652e+07
  5.5968e+01   5.6480e+01   4.0319e+00   1.8143e-04   7.1045e-05   6.5467e+06   4.1023e+07
  7.0460e+01   7.1095e+01   4.2620e+00   2.9584e-04   5.9453e-05   9.3486e+06   5.9491e+07
  8.8703e+01   8.9430e+01   4.4914e+00   4.1317e-04   4.9840e-05   1.3302e+07   8.4358e+07
  1.1167e+02   1.1265e+02   4.7223e+00   5.2276e-04   4.2236e-05   1.8524e+07   1.1864e+08
  1.4059e+02   1.4194e+02   4.9534e+00   8.8111e-04   3.4923e-05   2.7093e+07   1.7437e+08
  1.7699e+02   1.7893e+02   5.1850e+00   8.9717e-04   2.8099e-05   4.1851e+07   2.6710e+08
  2.2281e+02   2.2483e+02   5.4133e+00   2.0635e-04   2.3068e-05   6.2096e+07   3.9893e+08
