## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8327e+00   1.0393e+00   6.4714e-01   1.0069e-03   6.5856e+05   6.5856e+05
  3.5313e+00   3.5677e+00   1.2700e+00   6.4624e-01   8.1104e-04   1.0151e+06   1.0151e+06
  4.4457e+00   4.4909e+00   1.5002e+00   6.4663e-01   6.5295e-04   1.5662e+06   1.5662e+06
  5.5968e+00   5.6547e+00   1.7306e+00   6.4631e-01   5.2474e-04   2.4251e+06   2.4251e+06
  7.0460e+00   7.1191e+00   1.9609e+00   6.4644e-01   4.2173e-04   3.7545e+06   3.7545e+06
  8.8703e+00   8.9674e+00   2.1917e+00   6.4655e-01   3.3772e-04   5.8546e+06   5.8546e+06
  1.1167e+01   1.1281e+01   2.4212e+00   6.4649e-01   2.6897e-04   9.2299e+06   9.2299e+06
  1.4059e+01   1.4202e+01   2.6514e+00   6.4659e-01   2.1725e-04   1.4148e+07   1.4148e+07
  1.7699e+01   1.7888e+01   2.8821e+00   6.4679e-01   1.7506e-04   2.1789e+07   2.1789e+07
  2.2281e+01   2.2498e+01   3.1115e+00   6.4706e-01   1.4103e-04   3.3571e+07   3.3571e+07
  2.8050e+01   2.8333e+01   3.3420e+00   6.4677e-01   1.1515e-04   5.0361e+07   5.0361e+07
  3.5313e+01   3.5642e+01   3.5715e+00   6.4678e-01   9.4792e-05   7.4313e+07   7.4313e+07
  4.4457e+01   4.4834e+01   3.8009e+00   6.4655e-01   7.9200e-05   1.0645e+08   1.0645e+08
  5.5968e+01   5.6379e+01   4.0301e+00   6.4612e-01   6.7797e-05   1.4527e+08   1.4527e+08
  7.0460e+01   7.0919e+01   4.2595e+00   6.4585e-01   5.9842e-05   1.8647e+08   1.8647e+08
  8.8703e+01   8.9243e+01   4.4893e+00   6.4652e-01   5.3837e-05   2.3038e+08   2.3038e+08
  1.1167e+02   1.1253e+02   4.7211e+00   6.4683e-01   4.7823e-05   2.9197e+08   2.9197e+08
  1.4059e+02   1.4199e+02   4.9537e+00   6.4589e-01   3.9923e-05   4.1896e+08   4.1896e+08
  1.7699e+02   1.7898e+02   5.1852e+00   6.4331e-01   3.2064e-05   6.4948e+08   6.4948e+08
  2.2281e+02   2.2515e+02   5.4147e+00   6.4107e-01   2.5387e-05   1.0361e+09   1.0361e+09
