## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8335e+00   1.0396e+00  -1.0827e-04   2.3174e-04   5.9922e+05   5.9922e+05
  3.5313e+00   3.5683e+00   1.2702e+00  -1.5436e-04   1.8544e-04   9.3581e+05   9.3581e+05
  4.4457e+00   4.4929e+00   1.5006e+00  -4.7899e-05   1.4810e-04   1.4671e+06   1.4671e+06
  5.5968e+00   5.6556e+00   1.7307e+00   4.7961e-05   1.1815e-04   2.3052e+06   2.3052e+06
  7.0460e+00   7.1207e+00   1.9611e+00  -3.2135e-04   9.4276e-05   3.6206e+06   3.6206e+06
  8.8703e+00   8.9653e+00   2.1914e+00  -1.7381e-04   7.5206e-05   5.6895e+06   5.6895e+06
  1.1167e+01   1.1286e+01   2.4216e+00  -2.5855e-04   5.9874e-05   8.9765e+06   8.9765e+06
  1.4059e+01   1.4209e+01   2.6519e+00  -1.7019e-04   4.7805e-05   1.4081e+07   1.4081e+07
  1.7699e+01   1.7887e+01   2.8821e+00  -1.5440e-04   3.8195e-05   2.2059e+07   2.2059e+07
  2.2281e+01   2.2517e+01   3.1123e+00  -2.5812e-04   3.0570e-05   3.4435e+07   3.4435e+07
  2.8050e+01   2.8343e+01   3.3424e+00  -3.1212e-04   2.4524e-05   5.3506e+07   5.3506e+07
  3.5313e+01   3.5679e+01   3.5726e+00  -2.7292e-04   1.9776e-05   8.2285e+07   8.2285e+07
  4.4457e+01   4.4902e+01   3.8025e+00  -1.8390e-04   1.6009e-05   1.2556e+08   1.2556e+08
  5.5968e+01   5.6532e+01   4.0328e+00  -7.5792e-05   1.3039e-05   1.8929e+08   1.8929e+08
  7.0460e+01   7.1162e+01   4.2630e+00   1.6625e-04   1.0604e-05   2.8621e+08   2.8621e+08
  8.8703e+01   8.9567e+01   4.4930e+00   1.5845e-04   8.6697e-06   4.2813e+08   4.2813e+08
  1.1167e+02   1.1274e+02   4.7231e+00  -3.7280e-05   7.1296e-06   6.3307e+08   6.3307e+08
  1.4059e+02   1.4205e+02   4.9542e+00  -4.7846e-04   5.8173e-06   9.5090e+08   9.5090e+08
  1.7699e+02   1.7895e+02   5.1851e+00  -9.8663e-04   4.6293e-06   1.5016e+09   1.5016e+09
  2.2281e+02   2.2431e+02   5.4110e+00  -9.2823e-04   3.8230e-06   2.2018e+09   2.2018e+09
