## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8329e+00   1.0394e+00  -1.3068e-03   1.5186e-04   1.4253e+06   1.4253e+06
  3.5313e+00   3.5682e+00   1.2702e+00  -1.1979e-03   1.2178e-04   2.2164e+06   2.2164e+06
  4.4457e+00   4.4921e+00   1.5004e+00  -1.3628e-03   9.7493e-05   3.4583e+06   3.4583e+06
  5.5968e+00   5.6558e+00   1.7308e+00  -1.3001e-03   7.8100e-05   5.3891e+06   5.3891e+06
  7.0460e+00   7.1192e+00   1.9609e+00  -1.3860e-03   6.2610e-05   8.3855e+06   8.3855e+06
  8.8703e+00   8.9659e+00   2.1915e+00  -1.1815e-03   5.0083e-05   1.3105e+07   1.3105e+07
  1.1167e+01   1.1283e+01   2.4213e+00  -1.0715e-03   3.9969e-05   2.0576e+07   2.0576e+07
  1.4059e+01   1.4203e+01   2.6515e+00  -1.0079e-03   3.2204e-05   3.1696e+07   3.1696e+07
  1.7699e+01   1.7881e+01   2.8817e+00  -1.0774e-03   2.5998e-05   4.8632e+07   4.8632e+07
  2.2281e+01   2.2504e+01   3.1117e+00  -9.8546e-04   2.1016e-05   7.4424e+07   7.4424e+07
  2.8050e+01   2.8330e+01   3.3419e+00  -8.9150e-04   1.7108e-05   1.1230e+08   1.1230e+08
  3.5313e+01   3.5655e+01   3.5719e+00  -9.3225e-04   1.3991e-05   1.6792e+08   1.6792e+08
  4.4457e+01   4.4862e+01   3.8016e+00  -8.8339e-04   1.1570e-05   2.4555e+08   2.4555e+08
  5.5968e+01   5.6452e+01   4.0314e+00  -8.0008e-04   9.7093e-06   3.4869e+08   3.4869e+08
  7.0460e+01   7.1030e+01   4.2611e+00  -6.0985e-04   8.2445e-06   4.8360e+08   4.8360e+08
  8.8703e+01   8.9345e+01   4.4905e+00  -5.0893e-04   7.1542e-06   6.4223e+08   6.4223e+08
  1.1167e+02   1.1255e+02   4.7213e+00  -4.2332e-04   6.2237e-06   8.4863e+08   8.4863e+08
  1.4059e+02   1.4175e+02   4.9520e+00  -4.2738e-04   5.3256e-06   1.1590e+09   1.1590e+09
  1.7699e+02   1.7805e+02   5.1800e+00  -3.4414e-04   4.6772e-06   1.5026e+09   1.5026e+09
  2.2281e+02   2.2462e+02   5.4123e+00   1.4113e-04   4.1624e-06   1.8973e+09   1.8973e+09
