## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8331e+00   1.0395e+00  -2.3845e-04  -9.4926e-06   1.4066e-04   1.6313e+06   1.6313e+06
  3.5313e+00   3.5684e+00   1.2702e+00  -1.9244e-04   1.4053e-04   1.1278e-04   2.5371e+06   2.5371e+06
  4.4457e+00   4.4922e+00   1.5004e+00  -2.3205e-04   6.3295e-05   9.0251e-05   3.9622e+06   3.9622e+06
  5.5968e+00   5.6562e+00   1.7308e+00   3.0968e-05  -7.3983e-06   7.2121e-05   6.2046e+06   6.2046e+06
  7.0460e+00   7.1208e+00   1.9611e+00  -2.8748e-05   9.0178e-05   5.7597e-05   9.7283e+06   9.7283e+06
  8.8703e+00   8.9673e+00   2.1916e+00   2.3546e-05   1.3044e-04   4.5851e-05   1.5351e+07   1.5351e+07
  1.1167e+01   1.1285e+01   2.4215e+00   4.3181e-05  -9.9524e-06   3.6441e-05   2.4303e+07   2.4303e+07
  1.4059e+01   1.4206e+01   2.6517e+00   7.1240e-06  -6.0841e-05   2.9211e-05   3.7821e+07   3.7821e+07
  1.7699e+01   1.7889e+01   2.8822e+00   7.8110e-06  -8.5710e-05   2.3395e-05   5.8966e+07   5.8966e+07
  2.2281e+01   2.2512e+01   3.1121e+00  -6.1808e-06  -7.8875e-05   1.8707e-05   9.2218e+07   9.2218e+07
  2.8050e+01   2.8346e+01   3.3425e+00   1.8417e-05  -5.5328e-05   1.5055e-05   1.4239e+08   1.4239e+08
  3.5313e+01   3.5675e+01   3.5725e+00   1.0584e-04  -7.5741e-05   1.2132e-05   2.1927e+08   2.1927e+08
  4.4457e+01   4.4907e+01   3.8026e+00   5.6299e-05  -6.2471e-05   9.8083e-06   3.3547e+08   3.3547e+08
  5.5968e+01   5.6535e+01   4.0328e+00   6.9281e-05  -7.5545e-05   7.9499e-06   5.1064e+08   5.1064e+08
  7.0460e+01   7.1174e+01   4.2631e+00   5.6740e-05   6.5793e-05   6.4492e-06   7.7594e+08   7.7594e+08
  8.8703e+01   8.9554e+01   4.4928e+00   7.8746e-05   1.0084e-04   5.2700e-06   1.1620e+09   1.1620e+09
  1.1167e+02   1.1275e+02   4.7232e+00   6.3845e-05   1.8369e-04   4.3312e-06   1.7204e+09   1.7204e+09
  1.4059e+02   1.4176e+02   4.9521e+00   7.9631e-05   2.4027e-04   3.6232e-06   2.4584e+09   2.4584e+09
  1.7699e+02   1.7821e+02   5.1809e+00   1.8437e-04   1.4455e-04   3.1444e-06   3.2641e+09   3.2641e+09
  2.2281e+02   2.2399e+02   5.4095e+00   1.8707e-04   3.2815e-04   2.8492e-06   3.9754e+09   3.9754e+09
