## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8316e+00   1.0390e+00   6.3909e-01   2.6470e-03   8.9031e+04   8.9031e+04
  3.5313e+00   3.5668e+00   1.2698e+00   6.4129e-01   2.1392e-03   1.3632e+05   1.3632e+05
  4.4457e+00   4.4900e+00   1.5000e+00   6.3730e-01   1.7226e-03   2.1022e+05   2.1022e+05
  5.5968e+00   5.6511e+00   1.7300e+00   6.3924e-01   1.3996e-03   3.1846e+05   3.1846e+05
  7.0460e+00   7.1143e+00   1.9602e+00   6.3829e-01   1.1360e-03   4.8335e+05   4.8335e+05
  8.8703e+00   8.9678e+00   2.1917e+00   6.3925e-01   9.0978e-04   7.5367e+05   7.5367e+05
  1.1167e+01   1.1274e+01   2.4206e+00   6.3915e-01   7.2593e-04   1.1838e+06   1.1838e+06
  1.4059e+01   1.4197e+01   2.6511e+00   6.3849e-01   5.9535e-04   1.7600e+06   1.7600e+06
  1.7699e+01   1.7876e+01   2.8815e+00   6.3834e-01   4.8723e-04   2.6278e+06   2.6278e+06
  2.2281e+01   2.2486e+01   3.1109e+00   6.3913e-01   3.9700e-04   3.9580e+06   3.9580e+06
  2.8050e+01   2.8320e+01   3.3416e+00   6.3854e-01   3.3040e-04   5.7145e+06   5.7145e+06
  3.5313e+01   3.5616e+01   3.5708e+00   6.3930e-01   2.7505e-04   8.2459e+06   8.2459e+06
  4.4457e+01   4.4801e+01   3.8002e+00   6.3900e-01   2.3440e-04   1.1354e+07   1.1354e+07
  5.5968e+01   5.6394e+01   4.0304e+00   6.3894e-01   2.0244e-04   1.5222e+07   1.5222e+07
  7.0460e+01   7.0984e+01   4.2605e+00   6.3949e-01   1.7573e-04   2.0200e+07   2.0200e+07
  8.8703e+01   8.9458e+01   4.4918e+00   6.3967e-01   1.5141e-04   2.7212e+07   2.7212e+07
  1.1167e+02   1.1295e+02   4.7249e+00   6.3976e-01   1.2360e-04   4.0836e+07   4.0836e+07
  1.4059e+02   1.4265e+02   4.9585e+00   6.4155e-01   9.3039e-05   7.2065e+07   7.2065e+07
  1.7699e+02   1.7956e+02   5.1886e+00   6.4218e-01   6.5794e-05   1.4411e+08   1.4411e+08
  2.2281e+02   2.2527e+02   5.4153e+00   6.3811e-01   5.0346e-05   2.4611e+08   2.4611e+08
