## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8263e+00   1.0371e+00  -5.7747e-03   1.5792e-03   1.3168e+04   1.3168e+04
  3.5313e+00   3.5616e+00   1.2683e+00  -3.9996e-03   1.3149e-03   1.8995e+04   1.8995e+04
  4.4457e+00   4.4845e+00   1.4987e+00  -3.3883e-03   1.1002e-03   2.7133e+04   2.7133e+04
  5.5968e+00   5.6428e+00   1.7285e+00  -3.2062e-03   9.1174e-04   3.9506e+04   3.9506e+04
  7.0460e+00   7.1151e+00   1.9603e+00  -7.0279e-04   7.5041e-04   5.8319e+04   5.8319e+04
  8.8703e+00   8.9666e+00   2.1916e+00   1.3353e-04   6.0926e-04   8.8472e+04   8.8472e+04
  1.1167e+01   1.1272e+01   2.4204e+00  -1.8637e-03   4.8377e-04   1.4033e+05   1.4033e+05
  1.4059e+01   1.4187e+01   2.6503e+00  -2.5404e-03   4.0263e-04   2.0258e+05   2.0258e+05
  1.7699e+01   1.7883e+01   2.8819e+00  -1.6483e-03   3.3269e-04   2.9671e+05   2.9671e+05
  2.2281e+01   2.2487e+01   3.1110e+00  -3.0412e-03   2.6617e-04   4.6354e+05   4.6354e+05
  2.8050e+01   2.8375e+01   3.3435e+00  -2.1079e-03   2.1519e-04   7.0916e+05   7.0916e+05
  3.5313e+01   3.5647e+01   3.5717e+00  -2.0577e-03   1.7431e-04   1.0809e+06   1.0809e+06
  4.4457e+01   4.4946e+01   3.8035e+00  -1.8132e-03   1.3994e-04   1.6770e+06   1.6770e+06
  5.5968e+01   5.6475e+01   4.0318e+00  -1.2467e-03   1.1225e-04   2.6064e+06   2.6064e+06
  7.0460e+01   7.1204e+01   4.2635e+00   1.5425e-04   9.4060e-05   3.7119e+06   3.7119e+06
  8.8703e+01   8.9559e+01   4.4929e+00  -3.9998e-04   7.5683e-05   5.7334e+06   5.7334e+06
  1.1167e+02   1.1360e+02   4.7307e+00  -1.7224e-04   5.5725e-05   1.0576e+07   1.0576e+07
  1.4059e+02   1.4256e+02   4.9578e+00   2.0567e-04   3.7709e-05   2.3095e+07   2.3095e+07
  1.7699e+02   1.7896e+02   5.1852e+00   3.2112e-04   2.8584e-05   4.0194e+07   4.0194e+07
  2.2281e+02   2.2363e+02   5.4079e+00   6.2849e-04   2.5318e-05   5.1234e+07   5.1234e+07
