## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8289e+00   1.0380e+00   7.1399e-05   1.1139e-03   2.6100e+04   2.6100e+04
  3.5313e+00   3.5694e+00   1.2705e+00  -1.7387e-03   8.9112e-04   4.0778e+04   4.0778e+04
  4.4457e+00   4.4904e+00   1.5000e+00  -2.5813e-04   7.1319e-04   6.3663e+04   6.3663e+04
  5.5968e+00   5.6541e+00   1.7305e+00   4.5707e-04   5.7540e-04   9.7804e+04   9.7804e+04
  7.0460e+00   7.1162e+00   1.9604e+00   6.8019e-04   4.6905e-04   1.4718e+05   1.4718e+05
  8.8703e+00   8.9633e+00   2.1912e+00   6.7889e-04   3.7839e-04   2.2616e+05   2.2616e+05
  1.1167e+01   1.1281e+01   2.4212e+00   7.3635e-04   3.0448e-04   3.4928e+05   3.4928e+05
  1.4059e+01   1.4205e+01   2.6516e+00   4.3358e-04   2.4362e-04   5.4559e+05   5.4559e+05
  1.7699e+01   1.7879e+01   2.8816e+00   1.2668e-03   1.9620e-04   8.4121e+05   8.4121e+05
  2.2281e+01   2.2497e+01   3.1114e+00   6.2958e-04   1.6018e-04   1.2621e+06   1.2621e+06
  2.8050e+01   2.8357e+01   3.3429e+00  -3.5476e-04   1.2846e-04   1.9624e+06   1.9624e+06
  3.5313e+01   3.5681e+01   3.5726e+00  -1.0594e-03   1.0319e-04   3.0410e+06   3.0410e+06
  4.4457e+01   4.4930e+01   3.8031e+00  -1.1813e-03   8.2705e-05   4.7341e+06   4.7341e+06
  5.5968e+01   5.6608e+01   4.0341e+00  -7.3735e-04   6.5605e-05   7.5237e+06   7.5237e+06
  7.0460e+01   7.1238e+01   4.2640e+00   4.2270e-04   5.1601e-05   1.2162e+07   1.2162e+07
  8.8703e+01   8.9696e+01   4.4944e+00   1.4819e-03   4.0565e-05   1.9679e+07   1.9679e+07
  1.1167e+02   1.1269e+02   4.7226e+00   6.3930e-04   3.3060e-05   2.9627e+07   2.9627e+07
  1.4059e+02   1.4170e+02   4.9517e+00   2.2552e-04   2.7917e-05   4.1549e+07   4.1549e+07
  1.7699e+02   1.7870e+02   5.1836e+00   7.0443e-04   2.3585e-05   5.8216e+07   5.8216e+07
  2.2281e+02   2.2381e+02   5.4087e+00   3.5593e-04   2.0081e-05   8.0298e+07   8.0298e+07
