## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8327e+00   1.0393e+00  -1.8352e-04  -6.2199e-05   3.5152e-04   2.6102e+05   2.6102e+05
  3.5313e+00   3.5682e+00   1.2702e+00  -1.8284e-04   7.3997e-04   2.8197e-04   4.0568e+05   4.0568e+05
  4.4457e+00   4.4918e+00   1.5004e+00  -7.1011e-05   1.3095e-04   2.2598e-04   6.3158e+05   6.3158e+05
  5.5968e+00   5.6552e+00   1.7307e+00   1.0721e-04  -5.1894e-05   1.8112e-04   9.8323e+05   9.8323e+05
  7.0460e+00   7.1211e+00   1.9612e+00   1.1301e-04  -2.2620e-04   1.4492e-04   1.5358e+06   1.5358e+06
  8.8703e+00   8.9674e+00   2.1917e+00   6.6158e-05  -1.7979e-04   1.1559e-04   2.4138e+06   2.4138e+06
  1.1167e+01   1.1284e+01   2.4215e+00   5.0134e-05   1.4545e-05   9.1810e-05   3.8265e+06   3.8265e+06
  1.4059e+01   1.4202e+01   2.6515e+00   1.4579e-04   1.7520e-04   7.3746e-05   5.9307e+06   5.9307e+06
  1.7699e+01   1.7892e+01   2.8824e+00   2.1016e-05  -1.3371e-04   5.9113e-05   9.2300e+06   9.2300e+06
  2.2281e+01   2.2509e+01   3.1120e+00   1.1704e-04   7.1217e-05   4.7275e-05   1.4432e+07   1.4432e+07
  2.8050e+01   2.8350e+01   3.3426e+00   1.3352e-04   1.2473e-05   3.8069e-05   2.2255e+07   2.2255e+07
  3.5313e+01   3.5673e+01   3.5724e+00   1.2130e-04   4.2378e-06   3.0612e-05   3.4419e+07   3.4419e+07
  4.4457e+01   4.4910e+01   3.8027e+00   5.4529e-05  -2.1672e-05   2.4725e-05   5.2760e+07   5.2760e+07
  5.5968e+01   5.6516e+01   4.0325e+00   7.0542e-05   1.2448e-04   2.0049e-05   8.0240e+07   8.0240e+07
  7.0460e+01   7.1113e+01   4.2623e+00   3.8665e-05   1.1496e-04   1.6534e-05   1.1798e+08   1.1798e+08
  8.8703e+01   8.9491e+01   4.4921e+00  -5.2749e-05   1.5352e-04   1.3780e-05   1.6986e+08   1.6986e+08
  1.1167e+02   1.1264e+02   4.7222e+00  -1.1439e-04   2.5217e-04   1.1587e-05   2.4022e+08   2.4022e+08
  1.4059e+02   1.4160e+02   4.9510e+00  -2.7580e-05   1.8055e-04   9.9197e-06   3.2778e+08   3.2778e+08
  1.7699e+02   1.7812e+02   5.1804e+00  -2.1812e-04  -7.1662e-05   8.7984e-06   4.1665e+08   4.1665e+08
  2.2281e+02   2.2432e+02   5.4110e+00  -4.1047e-04  -2.4552e-04   7.8898e-06   5.1814e+08   5.1814e+08
