## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 100668301.34416914}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8303e+00   1.0385e+00   3.7618e-02   6.5608e-03   9.8383e+03   9.4816e+03   6.2523e+04
  3.5313e+00   3.5683e+00   1.2702e+00   3.3948e-02   5.2602e-03   1.5251e+04   1.4750e+04   9.6175e+04
  4.4457e+00   4.4907e+00   1.5001e+00   3.8001e-02   4.2205e-03   2.3783e+04   2.2912e+04   1.5080e+05
  5.5968e+00   5.6535e+00   1.7304e+00   4.3491e-02   3.4002e-03   3.6836e+04   3.5300e+04   2.3487e+05
  7.0460e+00   7.1167e+00   1.9606e+00   2.7928e-02   2.7418e-03   5.5806e+04   5.4290e+04   3.5740e+05
  8.8703e+00   8.9668e+00   2.1916e+00   3.7613e-02   2.2072e-03   8.6922e+04   8.3771e+04   5.5170e+05
  1.1167e+01   1.1283e+01   2.4214e+00   4.6774e-02   1.7621e-03   1.3759e+05   1.3144e+05   8.7010e+05
  1.4059e+01   1.4200e+01   2.6513e+00   4.3103e-02   1.4151e-03   2.1260e+05   2.0381e+05   1.3549e+06
  1.7699e+01   1.7884e+01   2.8820e+00   4.7511e-02   1.1406e-03   3.2859e+05   3.1369e+05   2.0877e+06
  2.2281e+01   2.2500e+01   3.1116e+00   4.4890e-02   9.1907e-04   5.0485e+05   4.8316e+05   3.2068e+06
  2.8050e+01   2.8326e+01   3.3418e+00   4.4898e-02   7.4827e-04   7.6165e+05   7.2892e+05   4.8156e+06
  3.5313e+01   3.5658e+01   3.5720e+00   3.8274e-02   6.0902e-04   1.1425e+06   1.1004e+06   7.2299e+06
  4.4457e+01   4.4891e+01   3.8023e+00   3.2754e-02   4.9769e-04   1.7017e+06   1.6477e+06   1.0823e+07
  5.5968e+01   5.6516e+01   4.0325e+00   2.8596e-02   4.0593e-04   2.5476e+06   2.4768e+06   1.6195e+07
  7.0460e+01   7.1132e+01   4.2626e+00   3.1955e-02   3.3383e-04   3.7791e+06   3.6621e+06   2.4026e+07
  8.8703e+01   8.9481e+01   4.4920e+00   3.2559e-02   2.7850e-04   5.4331e+06   5.2618e+06   3.4634e+07
  1.1167e+02   1.1259e+02   4.7218e+00   2.2021e-02   2.3317e-04   7.6720e+06   7.5067e+06   4.9353e+07
  1.4059e+02   1.4175e+02   4.9520e+00   1.8132e-02   1.9856e-04   1.0540e+07   1.0352e+07   6.7257e+07
  1.7699e+02   1.7810e+02   5.1803e+00   2.2537e-02   1.7337e-04   1.3884e+07   1.3578e+07   8.9057e+07
  2.2281e+02   2.2388e+02   5.4090e+00   1.2376e-02   1.5686e-04   1.6793e+07   1.6588e+07   1.0871e+08
