## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8301e+00   1.0384e+00  -4.4723e-03   3.3797e-03   2.8716e+03   1.8978e+04
  3.5313e+00   3.5672e+00   1.2699e+00  -1.4858e-03   2.7486e-03   4.3417e+03   2.8584e+04
  4.4457e+00   4.4822e+00   1.4982e+00   7.6980e-04   2.2382e-03   6.5479e+03   4.3127e+04
  5.5968e+00   5.6482e+00   1.7294e+00  -8.7914e-04   1.8480e-03   9.6043e+03   6.3730e+04
  7.0460e+00   7.1088e+00   1.9594e+00  -2.5457e-03   1.5133e-03   1.4322e+04   9.4792e+04
  8.8703e+00   8.9634e+00   2.1912e+00  -1.6036e-03   1.2432e-03   2.1222e+04   1.4326e+05
  1.1167e+01   1.1268e+01   2.4200e+00  -1.5418e-03   1.0237e-03   3.1298e+04   2.1451e+05
  1.4059e+01   1.4173e+01   2.6494e+00  -1.6837e-04   8.6555e-04   4.3783e+04   3.0230e+05
  1.7699e+01   1.7872e+01   2.8813e+00   1.0430e-04   7.3727e-04   6.0344e+04   4.1996e+05
  2.2281e+01   2.2448e+01   3.1092e+00   1.8704e-04   6.1481e-04   8.6779e+04   5.9823e+05
  2.8050e+01   2.8330e+01   3.3420e+00  -4.0134e-04   5.1431e-04   1.2401e+05   8.3508e+05
  3.5313e+01   3.5585e+01   3.5699e+00  -1.5904e-03   4.3449e-04   1.7375e+05   1.1441e+06
  4.4457e+01   4.4786e+01   3.7999e+00  -7.1779e-04   3.7405e-04   2.3444e+05   1.4850e+06
  5.5968e+01   5.6535e+01   4.0328e+00  -2.3418e-04   3.2329e-04   3.1383e+05   2.0574e+06
  7.0460e+01   7.1046e+01   4.2614e+00   2.7572e-04   2.6466e-04   4.6828e+05   3.1252e+06
  8.8703e+01   8.9266e+01   4.4896e+00   9.1792e-04   2.3538e-04   5.9204e+05   4.2143e+06
  1.1167e+02   1.1201e+02   4.7166e+00   7.3986e-04   2.1325e-04   7.2131e+05   4.8813e+06
  1.4059e+02   1.4217e+02   4.9549e+00   6.4309e-04   1.9415e-04   8.7018e+05   5.7102e+06
  1.7699e+02   1.8044e+02   5.1934e+00   5.4346e-04   1.3021e-04   1.9345e+06   1.3201e+07
  2.2281e+02   2.2465e+02   5.4124e+00   8.2976e-04   1.0130e-04   3.1963e+06   2.1793e+07
