## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8329e+00   1.0394e+00   1.1819e-03   1.1537e-03   2.4816e+04   1.6044e+05
  3.5313e+00   3.5678e+00   1.2701e+00   1.5413e-03   9.3283e-04   3.7956e+04   2.4769e+05
  4.4457e+00   4.4916e+00   1.5003e+00   1.4360e-03   7.4795e-04   5.9040e+04   3.8325e+05
  5.5968e+00   5.6545e+00   1.7306e+00   9.3491e-04   6.0258e-04   9.0963e+04   5.9319e+05
  7.0460e+00   7.1182e+00   1.9608e+00   9.8904e-04   4.8335e-04   1.4138e+05   9.1779e+05
  8.8703e+00   8.9648e+00   2.1914e+00   3.8345e-04   3.8901e-04   2.1826e+05   1.4270e+06
  1.1167e+01   1.1281e+01   2.4212e+00   6.5852e-04   3.1184e-04   3.3965e+05   2.2341e+06
  1.4059e+01   1.4202e+01   2.6514e+00   1.2889e-03   2.5072e-04   5.2545e+05   3.4509e+06
  1.7699e+01   1.7882e+01   2.8819e+00   6.3768e-04   2.0215e-04   8.0827e+05   5.3115e+06
  2.2281e+01   2.2509e+01   3.1119e+00   9.3972e-04   1.6257e-04   1.2498e+06   8.2195e+06
  2.8050e+01   2.8342e+01   3.3424e+00   8.5510e-04   1.3118e-04   1.9193e+06   1.2569e+07
  3.5313e+01   3.5668e+01   3.5723e+00   8.0381e-04   1.0604e-04   2.9372e+06   1.9253e+07
  4.4457e+01   4.4903e+01   3.8025e+00   8.0731e-04   8.5946e-05   4.4714e+06   2.9233e+07
  5.5968e+01   5.6534e+01   4.0328e+00   8.2017e-04   6.9914e-05   6.7572e+06   4.4154e+07
  7.0460e+01   7.1163e+01   4.2630e+00   8.3883e-04   5.6646e-05   1.0293e+07   6.6953e+07
  8.8703e+01   8.9554e+01   4.4929e+00   5.9014e-04   4.6404e-05   1.5339e+07   1.0062e+08
  1.1167e+02   1.1267e+02   4.7224e+00   4.8112e-04   3.8391e-05   2.2410e+07   1.4762e+08
  1.4059e+02   1.4165e+02   4.9514e+00   3.7053e-04   3.2668e-05   3.0950e+07   2.0303e+08
  1.7699e+02   1.7811e+02   5.1804e+00   3.3903e-04   2.8871e-05   3.9624e+07   2.5662e+08
  2.2281e+02   2.2410e+02   5.4100e+00   2.4112e-04   2.6314e-05   4.7699e+07   3.0708e+08
