# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 1.027314714247585359e+00 1.836118998104010547e-03
3.531299999999999883e+00 1.020065966579792871e+00 1.935314191649152972e-03
4.445700000000000429e+00 1.014913633969060536e+00 1.932438345099800380e-03
5.596799999999999997e+00 1.009719680649764362e+00 2.030456425092687540e-03
7.046000000000000263e+00 1.004963833167285214e+00 2.149260035702326571e-03
8.870300000000000296e+00 1.000817016077960586e+00 2.125173427061990972e-03
1.116699999999999982e+01 9.996081083419671165e-01 2.169494062703526942e-03
1.405899999999999928e+01 9.974789051734556100e-01 2.213042495701300887e-03
1.769900000000000162e+01 9.955144481897069131e-01 2.212328777905950544e-03
2.228099999999999881e+01 9.943652054918743488e-01 2.102740790369708561e-03
2.805000000000000071e+01 9.938894517667450357e-01 2.163505393664181143e-03
3.531300000000000239e+01 9.937851797094403583e-01 2.103220944904684274e-03
4.445700000000000074e+01 9.947407716284244472e-01 1.939760378317982852e-03
5.596800000000000352e+01 9.972414447015690575e-01 1.707847470104872749e-03
7.045999999999999375e+01 9.992228251181246579e-01 1.740291221841091434e-03
8.870300000000000296e+01 1.001034816974486930e+00 1.840641003481589214e-03
1.116700000000000017e+02 9.997237381989374505e-01 1.805516303101499260e-03
1.405900000000000034e+02 9.995481483776493814e-01 1.757571486244313783e-03
1.769900000000000091e+02 9.996475785550367199e-01 1.613932991390064874e-03
2.228100000000000023e+02 1.000327257202713538e+00 1.565306334411714932e-03
