# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 9.839562894790718130e-04 1.329777021417621831e-04
3.531299999999999883e+00 9.362053129178148818e-04 1.070369569907909571e-04
4.445700000000000429e+00 6.189130503812892165e-04 8.829805880778920533e-05
5.596799999999999997e+00 5.211163133479343674e-04 7.189648648593603936e-05
7.046000000000000263e+00 2.329267280754657198e-04 6.000604487717859384e-05
8.870300000000000296e+00 2.685375062396712842e-04 4.394441680218944012e-05
1.116699999999999982e+01 3.117746519105832554e-04 3.731763756572459577e-05
1.405899999999999928e+01 1.934546918387193104e-04 3.053703195337333337e-05
1.769900000000000162e+01 1.445497120118110297e-04 3.149011091527340376e-05
2.228099999999999881e+01 1.033753059709857224e-04 2.255994908836709642e-05
2.805000000000000071e+01 1.452268602711790898e-04 2.191243709934139795e-05
3.531300000000000239e+01 1.163571411763101145e-04 1.898711937078085134e-05
4.445700000000000074e+01 6.856753062509670065e-05 1.794054818949405040e-05
5.596800000000000352e+01 5.464907471008193001e-05 1.431529360924866005e-05
7.045999999999999375e+01 7.285921900344398915e-05 1.324899948049290915e-05
8.870300000000000296e+01 4.010035899078320511e-05 1.154202555848190113e-05
1.116700000000000017e+02 1.902253956117844297e-05 9.309918683430274647e-06
1.405900000000000034e+02 1.407501306929386855e-05 8.762726352383994616e-06
1.769900000000000091e+02 3.022272539844472484e-05 8.183197910692421585e-06
2.228100000000000023e+02 5.657481440963808353e-06 8.726963675759271961e-06
