# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 1.010954303279860533e-03 1.363439597459699588e-04
3.531299999999999883e+00 9.546758736929979302e-04 1.086334841530688339e-04
4.445700000000000429e+00 6.277938191985630136e-04 8.927185774803752052e-05
5.596799999999999997e+00 5.264140194543216224e-04 7.232559988726779978e-05
7.046000000000000263e+00 2.342119521368826133e-04 6.018177550465897597e-05
8.870300000000000296e+00 2.687700759045412685e-04 4.391294887899926827e-05
1.116699999999999982e+01 3.116661808911361567e-04 3.733029634088939869e-05
1.405899999999999928e+01 1.929505956056525267e-04 3.047076346778982716e-05
1.769900000000000162e+01 1.439096690791204301e-04 3.139432210492944415e-05
2.228099999999999881e+01 1.026875235173940553e-04 2.246884101660638204e-05
2.805000000000000071e+01 1.443730429883550309e-04 2.180538697726440995e-05
3.531300000000000239e+01 1.156068932753633911e-04 1.887092013789828915e-05
4.445700000000000074e+01 6.819807127758734794e-05 1.787748628182790021e-05
5.596800000000000352e+01 5.449054463811225371e-05 1.427370454742095071e-05
7.045999999999999375e+01 7.278256475835342737e-05 1.324777209250165824e-05
8.870300000000000296e+01 4.017916734433715461e-05 1.156471365380420683e-05
1.116700000000000017e+02 1.900884127270179540e-05 9.298243910453344330e-06
1.405900000000000034e+02 1.406176039203174435e-05 8.756333812506860879e-06
1.769900000000000091e+02 3.021171068300482877e-05 8.179863995294538097e-06
2.228100000000000023e+02 5.647639356263370469e-06 8.731806165599730038e-06
