# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 -9.411966873711055629e-06 1.381894617306676310e-04
3.531299999999999883e+00 -8.133042940095065103e-05 1.281304504411595320e-04
4.445700000000000429e+00 1.512246906816038839e-04 8.319043165075316730e-05
5.596799999999999997e+00 -1.373501271286201119e-05 7.811435040174660401e-05
7.046000000000000263e+00 3.453493862837673595e-05 5.973649440483320700e-05
8.870300000000000296e+00 -1.093300059051694082e-05 4.667866218615956644e-05
1.116699999999999982e+01 3.633601655692882777e-05 4.014402031862170431e-05
1.405899999999999928e+01 -3.367338368961095871e-06 3.099042833760114646e-05
1.769900000000000162e+01 3.020337143391605976e-05 2.828056976620719329e-05
2.228099999999999881e+01 6.166512423802181727e-06 2.178379250315277439e-05
2.805000000000000071e+01 -1.495703110241136120e-05 1.844160123316613989e-05
3.531300000000000239e+01 2.796428905255699083e-05 1.779738955223036020e-05
4.445700000000000074e+01 -1.439301183172231277e-05 1.332161249089304278e-05
5.596800000000000352e+01 -5.998114105262110146e-06 1.321165005652186055e-05
7.045999999999999375e+01 3.465841555786124072e-06 1.123666830396848247e-05
8.870300000000000296e+01 -1.525528033766609952e-05 9.420393449461002660e-06
1.116700000000000017e+02 -7.476462083227209077e-06 9.074763465443036191e-06
1.405900000000000034e+02 -5.035316061613669036e-06 8.654300334553473382e-06
1.769900000000000091e+02 -3.949980132009792349e-06 6.777285134746313918e-06
2.228100000000000023e+02 2.481814134724700982e-06 6.213137895031323909e-06
