# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 6.619840302691328837e-01 7.270754678676855966e-03
3.531299999999999883e+00 6.676537021150865669e-01 7.312455418723790707e-03
4.445700000000000429e+00 6.661922250492386954e-01 6.147671670989219433e-03
5.596799999999999997e+00 6.636320206649544140e-01 5.921153814436723103e-03
7.046000000000000263e+00 6.657538085717090715e-01 5.831213572660700131e-03
8.870300000000000296e+00 6.661261827924596091e-01 5.398211347024984251e-03
1.116699999999999982e+01 6.649754980928492820e-01 5.411289619994271750e-03
1.405899999999999928e+01 6.620395752029379910e-01 5.330632043372329244e-03
1.769900000000000162e+01 6.634966653882954368e-01 5.209172007805549370e-03
2.228099999999999881e+01 6.655551760190189237e-01 5.241285387505290050e-03
2.805000000000000071e+01 6.652579644811948967e-01 5.102882207112222762e-03
3.531300000000000239e+01 6.645101368422349220e-01 4.936519867859009807e-03
4.445700000000000074e+01 6.648604111369573744e-01 4.773474513724627714e-03
5.596800000000000352e+01 6.646672751868178963e-01 4.505679365134215679e-03
7.045999999999999375e+01 6.644623826259099530e-01 4.247483272408571209e-03
8.870300000000000296e+01 6.645823178059084846e-01 3.941061623504623843e-03
1.116700000000000017e+02 6.631796616470732042e-01 3.648379735583772918e-03
1.405900000000000034e+02 6.641644599057190401e-01 3.074915298609656646e-03
1.769900000000000091e+02 6.639425492409795071e-01 2.443004759708341297e-03
2.228100000000000023e+02 6.618378845594405924e-01 2.208090519255095311e-03
