# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 6.661886140894759389e-01 5.496716283860595201e-03
3.531299999999999883e+00 6.624322749139094357e-01 5.279556796553538760e-03
4.445700000000000429e+00 6.672358503300069854e-01 5.402995741651825737e-03
5.596799999999999997e+00 6.653926739066607920e-01 5.402507916442679525e-03
7.046000000000000263e+00 6.657346820342295857e-01 5.258945447874618581e-03
8.870300000000000296e+00 6.653542933969652795e-01 5.112351909006523053e-03
1.116699999999999982e+01 6.647661560462996277e-01 5.199104802632869421e-03
1.405899999999999928e+01 6.639709788954549774e-01 5.217652904235367713e-03
1.769900000000000162e+01 6.644266589601266482e-01 5.081317417421636444e-03
2.228099999999999881e+01 6.649570371882860265e-01 4.999987061249501138e-03
2.805000000000000071e+01 6.646026936753506309e-01 4.926196535101741436e-03
3.531300000000000239e+01 6.654570518709341798e-01 4.776694094168113143e-03
4.445700000000000074e+01 6.647055052052316393e-01 4.644459831481685674e-03
5.596800000000000352e+01 6.644284694277223791e-01 4.407301775684138202e-03
7.045999999999999375e+01 6.648277765928666261e-01 4.217436305538063354e-03
8.870300000000000296e+01 6.645023031779520029e-01 3.932637941347304038e-03
1.116700000000000017e+02 6.633439935574652058e-01 3.586866463088049864e-03
1.405900000000000034e+02 6.644726572332435577e-01 3.033629279119658736e-03
1.769900000000000091e+02 6.638578704753408388e-01 2.378375375077027877e-03
2.228100000000000023e+02 6.617935281099392997e-01 2.152914027863227046e-03
