## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8316e+00   1.0390e+00  -7.7990e-04   1.5310e-03   1.4102e+04   7.5383e+04
  3.5313e+00   3.5667e+00   1.2697e+00   2.3496e-04   1.2467e-03   2.1269e+04   1.1286e+05
  4.4457e+00   4.4895e+00   1.4999e+00  -2.4690e-05   1.0152e-03   3.2072e+04   1.7096e+05
  5.5968e+00   5.6533e+00   1.7304e+00   1.0734e-03   8.2308e-04   4.8794e+04   2.6004e+05
  7.0460e+00   7.1147e+00   1.9603e+00   1.4825e-03   6.6707e-04   7.4286e+04   3.9908e+05
  8.8703e+00   8.9698e+00   2.1920e+00   1.3264e-03   5.3523e-04   1.1539e+05   6.2763e+05
  1.1167e+01   1.1280e+01   2.4211e+00   1.1540e-03   4.2649e-04   1.8173e+05   9.9047e+05
  1.4059e+01   1.4198e+01   2.6512e+00   1.5811e-03   3.4497e-04   2.7778e+05   1.4947e+06
  1.7699e+01   1.7889e+01   2.8822e+00   1.8946e-03   2.7920e-04   4.2407e+05   2.2786e+06
  2.2281e+01   2.2500e+01   3.1116e+00   1.7791e-03   2.2344e-04   6.6213e+05   3.5367e+06
  2.8050e+01   2.8342e+01   3.3424e+00   1.7692e-03   1.8089e-04   1.0103e+06   5.3821e+06
  3.5313e+01   3.5658e+01   3.5720e+00   1.7154e-03   1.4741e-04   1.5213e+06   8.1151e+06
  4.4457e+01   4.4842e+01   3.8012e+00   2.0537e-03   1.2205e-04   2.2191e+06   1.1940e+07
  5.5968e+01   5.6430e+01   4.0310e+00   1.2862e-03   1.0297e-04   3.1179e+06   1.7010e+07
  7.0460e+01   7.0982e+01   4.2605e+00   7.4523e-04   8.8353e-05   4.2346e+06   2.3726e+07
  8.8703e+01   8.9405e+01   4.4912e+00   1.6219e-05   7.7195e-05   5.5471e+06   3.1500e+07
  1.1167e+02   1.1281e+02   4.7237e+00  -3.9876e-04   6.4609e-05   7.9189e+06   4.3993e+07
  1.4059e+02   1.4229e+02   4.9559e+00  -1.3120e-04   5.0491e-05   1.2967e+07   7.2111e+07
  1.7699e+02   1.7897e+02   5.1852e+00  -2.6995e-05   3.9460e-05   2.1230e+07   1.1817e+08
  2.2281e+02   2.2427e+02   5.4108e+00  -3.1318e-04   3.2956e-05   3.0436e+07   1.6622e+08
