## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8305e+00   1.0386e+00   1.6022e-03   1.1802e-03   2.3391e+04   1.2773e+05
  3.5313e+00   3.5689e+00   1.2704e+00   2.4074e-03   9.5213e-04   3.5937e+04   1.9731e+05
  4.4457e+00   4.4896e+00   1.4999e+00   1.2889e-03   7.6239e-04   5.6051e+04   3.0856e+05
  5.5968e+00   5.6543e+00   1.7305e+00   8.4412e-04   6.1290e-04   8.6727e+04   4.7633e+05
  7.0460e+00   7.1200e+00   1.9610e+00   1.4541e-03   4.9203e-04   1.3457e+05   7.3162e+05
  8.8703e+00   8.9625e+00   2.1912e+00   1.8717e-03   3.9676e-04   2.0696e+05   1.1353e+06
  1.1167e+01   1.1284e+01   2.4214e+00   1.4198e-03   3.1698e-04   3.2424e+05   1.7804e+06
  1.4059e+01   1.4203e+01   2.6516e+00   1.1213e-03   2.5450e-04   5.0298e+05   2.7575e+06
  1.7699e+01   1.7876e+01   2.8815e+00   8.2795e-04   2.0604e-04   7.6739e+05   4.2336e+06
  2.2281e+01   2.2512e+01   3.1121e+00   1.0168e-03   1.6609e-04   1.1810e+06   6.4913e+06
  2.8050e+01   2.8332e+01   3.3420e+00   9.0667e-04   1.3481e-04   1.7928e+06   9.8043e+06
  3.5313e+01   3.5658e+01   3.5720e+00   8.2946e-04   1.1012e-04   2.6868e+06   1.4726e+07
  4.4457e+01   4.4868e+01   3.8017e+00   7.3725e-04   9.0777e-05   3.9535e+06   2.1649e+07
  5.5968e+01   5.6444e+01   4.0313e+00   8.1591e-04   7.6197e-05   5.6113e+06   3.0640e+07
  7.0460e+01   7.1017e+01   4.2609e+00   9.1425e-04   6.5008e-05   7.7090e+06   4.1741e+07
  8.8703e+01   8.9311e+01   4.4901e+00   8.8078e-04   5.6612e-05   1.0165e+07   5.5040e+07
  1.1167e+02   1.1235e+02   4.7196e+00   7.0792e-04   5.0974e-05   1.2538e+07   6.8023e+07
  1.4059e+02   1.4161e+02   4.9510e+00   8.0113e-04   4.5121e-05   1.6002e+07   8.7043e+07
  1.7699e+02   1.7842e+02   5.1821e+00   7.1441e-04   3.9156e-05   2.1249e+07   1.1756e+08
  2.2281e+02   2.2470e+02   5.4127e+00   6.3728e-04   3.3112e-05   2.9714e+07   1.6408e+08
