## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8319e+00   1.0391e+00  -1.8694e-04   6.1326e-04   1.7896e-03   1.0051e+04   5.5448e+04
  3.5313e+00   3.5657e+00   1.2695e+00   8.8045e-04   4.1517e-05   1.4443e-03   1.5432e+04   8.4648e+04
  4.4457e+00   4.4900e+00   1.5000e+00   2.3120e-04  -4.6915e-04   1.1603e-03   2.3908e+04   1.2910e+05
  5.5968e+00   5.6511e+00   1.7300e+00   6.9673e-04  -2.2457e-03   9.4117e-04   3.6339e+04   1.9589e+05
  7.0460e+00   7.1164e+00   1.9605e+00  -4.7675e-04   1.8231e-04   7.6616e-04   5.4837e+04   2.9852e+05
  8.8703e+00   8.9694e+00   2.1919e+00   2.6531e-04  -3.4897e-04   6.1930e-04   8.3928e+04   4.5491e+05
  1.1167e+01   1.1276e+01   2.4208e+00   2.9223e-04  -2.3237e-04   4.9414e-04   1.3183e+05   7.1128e+05
  1.4059e+01   1.4187e+01   2.6504e+00   4.0754e-04   5.5534e-05   4.0849e-04   1.9291e+05   1.0482e+06
  1.7699e+01   1.7869e+01   2.8811e+00   2.5693e-04  -4.1055e-05   3.3963e-04   2.7906e+05   1.5273e+06
  2.2281e+01   2.2490e+01   3.1111e+00   5.4979e-04  -4.3346e-04   2.7720e-04   4.1892e+05   2.2977e+06
  2.8050e+01   2.8313e+01   3.3414e+00   6.5026e-04  -3.0128e-04   2.2969e-04   6.1012e+05   3.3463e+06
  3.5313e+01   3.5622e+01   3.5710e+00   9.1829e-04  -1.3828e-04   1.9140e-04   8.7866e+05   4.8778e+06
  4.4457e+01   4.4842e+01   3.8012e+00   1.5183e-04  -2.1747e-04   1.6132e-04   1.2369e+06   6.9278e+06
  5.5968e+01   5.6504e+01   4.0323e+00   8.4142e-05  -2.4910e-04   1.3451e-04   1.7790e+06   1.0036e+07
  7.0460e+01   7.1182e+01   4.2633e+00   5.4151e-05  -3.4782e-04   1.0837e-04   2.7408e+06   1.5147e+07
  8.8703e+01   8.9441e+01   4.4916e+00  -4.6502e-04  -3.9713e-05   9.0239e-05   3.9530e+06   2.1733e+07
  1.1167e+02   1.1278e+02   4.7234e+00  -5.1728e-04  -2.4478e-04   7.4961e-05   5.7285e+06   3.0883e+07
  1.4059e+02   1.4220e+02   4.9553e+00   1.1564e-04   1.1290e-04   5.8907e-05   9.2765e+06   4.8719e+07
  1.7699e+02   1.7831e+02   5.1815e+00  -2.1991e-04   3.5356e-04   4.8700e-05   1.3572e+07   7.0748e+07
  2.2281e+02   2.2349e+02   5.4073e+00  -3.5024e-04   1.1610e-04   4.4753e-05   1.6072e+07   8.5077e+07
