## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8328e+00   1.0393e+00   6.4949e-01   6.3181e-04   1.6734e+06   1.6734e+06
  3.5313e+00   3.5682e+00   1.2702e+00   6.4964e-01   5.0718e-04   2.5968e+06   2.5968e+06
  4.4457e+00   4.4925e+00   1.5005e+00   6.4881e-01   4.0598e-04   4.0528e+06   4.0528e+06
  5.5968e+00   5.6558e+00   1.7308e+00   6.4867e-01   3.2483e-04   6.3309e+06   6.3309e+06
  7.0460e+00   7.1206e+00   1.9611e+00   6.4904e-01   2.5948e-04   9.9212e+06   9.9212e+06
  8.8703e+00   8.9668e+00   2.1916e+00   6.4952e-01   2.0661e-04   1.5648e+07   1.5648e+07
  1.1167e+01   1.1285e+01   2.4215e+00   6.4952e-01   1.6433e-04   2.4736e+07   2.4736e+07
  1.4059e+01   1.4207e+01   2.6518e+00   6.4935e-01   1.3157e-04   3.8589e+07   3.8589e+07
  1.7699e+01   1.7889e+01   2.8822e+00   6.4965e-01   1.0526e-04   6.0286e+07   6.0286e+07
  2.2281e+01   2.2512e+01   3.1121e+00   6.4973e-01   8.4292e-05   9.4015e+07   9.4015e+07
  2.8050e+01   2.8347e+01   3.3425e+00   6.4953e-01   6.7746e-05   1.4554e+08   1.4554e+08
  3.5313e+01   3.5680e+01   3.5726e+00   6.4942e-01   5.4500e-05   2.2489e+08   2.2489e+08
  4.4457e+01   4.4925e+01   3.8030e+00   6.4922e-01   4.3816e-05   3.4794e+08   3.4794e+08
  5.5968e+01   5.6567e+01   4.0334e+00   6.4842e-01   3.5076e-05   5.4292e+08   5.4292e+08
  7.0460e+01   7.1221e+01   4.2638e+00   6.4734e-01   2.8001e-05   8.5193e+08   8.5193e+08
  8.8703e+01   8.9683e+01   4.4943e+00   6.4647e-01   2.2218e-05   1.3532e+09   1.3532e+09
  1.1167e+02   1.1286e+02   4.7241e+00   6.4576e-01   1.7716e-05   2.1283e+09   2.1283e+09
  1.4059e+02   1.4205e+02   4.9541e+00   6.4490e-01   1.4258e-05   3.2857e+09   3.2857e+09
  1.7699e+02   1.7865e+02   5.1834e+00   6.4489e-01   1.1604e-05   4.9604e+09   4.9604e+09
  2.2281e+02   2.2429e+02   5.4109e+00   6.4549e-01   1.0065e-05   6.5944e+09   6.5944e+09
