## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8316e+00   1.0389e+00  -1.5808e-03   6.1090e-04   8.7225e+04   8.7225e+04
  3.5313e+00   3.5649e+00   1.2692e+00  -1.3385e-03   4.9967e-04   1.3038e+05   1.3038e+05
  4.4457e+00   4.4879e+00   1.4995e+00  -2.5009e-03   4.1150e-04   1.9224e+05   1.9224e+05
  5.5968e+00   5.6478e+00   1.7293e+00  -2.8556e-03   3.3877e-04   2.8364e+05   2.8364e+05
  7.0460e+00   7.1113e+00   1.9597e+00  -2.8612e-03   2.8157e-04   4.1058e+05   4.1058e+05
  8.8703e+00   8.9620e+00   2.1910e+00  -1.9210e-03   2.3145e-04   6.0769e+05   6.0769e+05
  1.1167e+01   1.1270e+01   2.4202e+00  -2.1785e-03   1.8729e-04   9.2801e+05   9.2801e+05
  1.4059e+01   1.4187e+01   2.6504e+00  -2.4542e-03   1.5549e-04   1.3463e+06   1.3463e+06
  1.7699e+01   1.7859e+01   2.8805e+00  -2.4463e-03   1.2974e-04   1.9338e+06   1.9338e+06
  2.2281e+01   2.2445e+01   3.1091e+00  -2.6173e-03   1.0973e-04   2.7036e+06   2.7036e+06
  2.8050e+01   2.8274e+01   3.3399e+00  -2.1878e-03   9.5015e-05   3.6057e+06   3.6057e+06
  3.5313e+01   3.5550e+01   3.5689e+00  -2.2198e-03   8.3249e-05   4.6969e+06   4.6969e+06
  4.4457e+01   4.4785e+01   3.7998e+00  -1.9581e-03   7.4072e-05   5.9330e+06   5.9330e+06
  5.5968e+01   5.6338e+01   4.0293e+00  -1.5834e-03   6.5162e-05   7.6662e+06   7.6662e+06
  7.0460e+01   7.0899e+01   4.2592e+00  -1.3426e-03   5.7785e-05   9.7486e+06   9.7486e+06
  8.8703e+01   8.9381e+01   4.4909e+00  -1.2066e-03   5.0527e-05   1.2751e+07   1.2751e+07
  1.1167e+02   1.1348e+02   4.7296e+00  -1.3341e-03   3.9431e-05   2.0936e+07   2.0936e+07
  1.4059e+02   1.4272e+02   4.9589e+00  -1.9984e-03   2.7160e-05   4.4129e+07   4.4129e+07
  1.7699e+02   1.8026e+02   5.1924e+00  -9.7453e-04   1.9257e-05   8.7781e+07   8.7781e+07
  2.2281e+02   2.2680e+02   5.4221e+00  -1.9466e-04   1.1897e-05   2.2999e+08   2.2999e+08
