## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8322e+00   1.0391e+00  -2.1459e-03   2.8911e-04   3.9745e+05   3.9745e+05
  3.5313e+00   3.5671e+00   1.2699e+00  -1.9595e-03   2.3336e-04   6.1003e+05   6.1003e+05
  4.4457e+00   4.4909e+00   1.5002e+00  -1.7734e-03   1.8885e-04   9.3145e+05   9.3145e+05
  5.5968e+00   5.6534e+00   1.7303e+00  -2.0176e-03   1.5279e-04   1.4230e+06   1.4230e+06
  7.0460e+00   7.1170e+00   1.9606e+00  -2.1367e-03   1.2371e-04   2.1706e+06   2.1706e+06
  8.8703e+00   8.9656e+00   2.1915e+00  -2.0861e-03   9.9598e-05   3.3489e+06   3.3489e+06
  1.1167e+01   1.1281e+01   2.4211e+00  -2.3297e-03   7.9564e-05   5.2477e+06   5.2477e+06
  1.4059e+01   1.4201e+01   2.6513e+00  -2.0897e-03   6.4263e-05   8.0440e+06   8.0440e+06
  1.7699e+01   1.7888e+01   2.8821e+00  -1.7660e-03   5.1777e-05   1.2391e+07   1.2391e+07
  2.2281e+01   2.2505e+01   3.1117e+00  -1.8193e-03   4.1606e-05   1.9191e+07   1.9191e+07
  2.8050e+01   2.8342e+01   3.3423e+00  -1.9488e-03   3.3767e-05   2.9134e+07   2.9134e+07
  3.5313e+01   3.5669e+01   3.5723e+00  -1.6576e-03   2.7337e-05   4.4451e+07   4.4451e+07
  4.4457e+01   4.4883e+01   3.8021e+00  -1.3213e-03   2.2318e-05   6.6694e+07   6.6694e+07
  5.5968e+01   5.6504e+01   4.0323e+00  -1.1321e-03   1.8375e-05   9.8387e+07   9.8387e+07
  7.0460e+01   7.1104e+01   4.2621e+00  -8.6838e-04   1.5154e-05   1.4466e+08   1.4466e+08
  8.8703e+01   8.9505e+01   4.4923e+00  -4.4026e-04   1.2593e-05   2.0948e+08   2.0948e+08
  1.1167e+02   1.1265e+02   4.7222e+00  -3.2901e-04   1.0593e-05   2.9606e+08   2.9606e+08
  1.4059e+02   1.4198e+02   4.9536e+00  -1.6850e-04   8.7493e-06   4.3396e+08   4.3396e+08
  1.7699e+02   1.7903e+02   5.1855e+00   6.4556e-05   6.9825e-06   6.8136e+08   6.8136e+08
  2.2281e+02   2.2528e+02   5.4153e+00   4.3305e-04   5.5183e-06   1.0909e+09   1.0909e+09
