## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8331e+00   1.0394e+00  -6.1021e-05   2.6484e-04   1.3696e-04   1.7541e+06   1.7541e+06
  3.5313e+00   3.5687e+00   1.2703e+00  -6.4987e-05   1.4689e-04   1.0972e-04   2.7331e+06   2.7331e+06
  4.4457e+00   4.4925e+00   1.5005e+00   2.2795e-04  -1.1227e-04   8.7699e-05   4.2780e+06   4.2780e+06
  5.5968e+00   5.6560e+00   1.7308e+00  -1.2185e-05  -1.1868e-05   7.0093e-05   6.6970e+06   6.6970e+06
  7.0460e+00   7.1206e+00   1.9611e+00   1.1354e-04   1.0189e-04   5.6014e-05   1.0487e+07   1.0487e+07
  8.8703e+00   8.9658e+00   2.1915e+00   9.5713e-06  -6.6568e-06   4.4722e-05   1.6450e+07   1.6450e+07
  1.1167e+01   1.1285e+01   2.4215e+00   7.9675e-07   7.4389e-05   3.5632e-05   2.5914e+07   2.5914e+07
  1.4059e+01   1.4208e+01   2.6518e+00  -6.1233e-06   1.0335e-04   2.8494e-05   4.0525e+07   4.0525e+07
  1.7699e+01   1.7887e+01   2.8821e+00   2.5708e-05   2.0625e-05   2.2800e-05   6.3295e+07   6.3295e+07
  2.2281e+01   2.2514e+01   3.1121e+00   3.1075e-05  -6.4708e-05   1.8264e-05   9.8634e+07   9.8634e+07
  2.8050e+01   2.8345e+01   3.3424e+00   7.9546e-05  -6.9711e-05   1.4685e-05   1.5258e+08   1.5258e+08
  3.5313e+01   3.5679e+01   3.5725e+00   1.0547e-04  -2.6624e-05   1.1827e-05   2.3521e+08   2.3521e+08
  4.4457e+01   4.4908e+01   3.8026e+00   1.3215e-04  -3.0302e-05   9.5572e-06   3.6022e+08   3.6022e+08
  5.5968e+01   5.6520e+01   4.0326e+00   1.8628e-04   3.6899e-05   7.7807e-06   5.4349e+08   5.4349e+08
  7.0460e+01   7.1136e+01   4.2626e+00   2.3519e-04   4.2204e-05   6.3836e-06   8.0743e+08   8.0743e+08
  8.8703e+01   8.9512e+01   4.4923e+00   1.7686e-04   6.4641e-05   5.2891e-06   1.1762e+09   1.1762e+09
  1.1167e+02   1.1262e+02   4.7220e+00   1.5011e-04   9.7716e-05   4.4440e-06   1.6660e+09   1.6660e+09
  1.4059e+02   1.4177e+02   4.9522e+00   2.3739e-04   1.6886e-04   3.7774e-06   2.3059e+09   2.3059e+09
  1.7699e+02   1.7854e+02   5.1828e+00   3.2436e-04   2.5444e-04   3.2024e-06   3.2083e+09   3.2083e+09
  2.2281e+02   2.2457e+02   5.4121e+00   4.5711e-04   3.5396e-04   2.7161e-06   4.4600e+09   4.4600e+09
