## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8304e+00   1.0385e+00   6.3688e-01   3.6428e-03   4.9410e+04   4.9410e+04
  3.5313e+00   3.5659e+00   1.2695e+00   6.3556e-01   2.9968e-03   7.3012e+04   7.3012e+04
  4.4457e+00   4.4891e+00   1.4998e+00   6.3627e-01   2.4491e-03   1.0932e+05   1.0932e+05
  5.5968e+00   5.6528e+00   1.7302e+00   6.3290e-01   1.9804e-03   1.6719e+05   1.6719e+05
  7.0460e+00   7.1179e+00   1.9607e+00   6.3028e-01   1.6007e-03   2.5590e+05   2.5590e+05
  8.8703e+00   8.9694e+00   2.1919e+00   6.3123e-01   1.2738e-03   4.0411e+05   4.0411e+05
  1.1167e+01   1.1284e+01   2.4214e+00   6.2992e-01   1.0050e-03   6.4921e+05   6.4921e+05
  1.4059e+01   1.4198e+01   2.6511e+00   6.2925e-01   8.1642e-04   9.8371e+05   9.8371e+05
  1.7699e+01   1.7897e+01   2.8826e+00   6.3106e-01   6.5293e-04   1.5380e+06   1.5380e+06
  2.2281e+01   2.2501e+01   3.1116e+00   6.3246e-01   5.2190e-04   2.4072e+06   2.4072e+06
  2.8050e+01   2.8363e+01   3.3431e+00   6.3348e-01   4.1911e-04   3.7328e+06   3.7328e+06
  3.5313e+01   3.5671e+01   3.5723e+00   6.3348e-01   3.4020e-04   5.6652e+06   5.6652e+06
  4.4457e+01   4.4880e+01   3.8020e+00   6.3455e-01   2.7746e-04   8.5169e+06   8.5169e+06
  5.5968e+01   5.6490e+01   4.0320e+00   6.3812e-01   2.2836e-04   1.2573e+07   1.2573e+07
  7.0460e+01   7.1166e+01   4.2630e+00   6.3846e-01   1.8781e-04   1.8590e+07   1.8590e+07
  8.8703e+01   8.9611e+01   4.4935e+00   6.3666e-01   1.5259e-04   2.8162e+07   2.8162e+07
  1.1167e+02   1.1305e+02   4.7258e+00   6.3814e-01   1.1970e-04   4.5764e+07   4.5764e+07
  1.4059e+02   1.4224e+02   4.9555e+00   6.4192e-01   9.2223e-05   7.7094e+07   7.7094e+07
  1.7699e+02   1.7855e+02   5.1828e+00   6.4204e-01   7.4609e-05   1.1779e+08   1.1779e+08
  2.2281e+02   2.2306e+02   5.4054e+00   6.4297e-01   6.8801e-05   1.3852e+08   1.3852e+08
