## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8324e+00   1.0392e+00   2.9953e-05   3.2755e-04   3.0728e+05   3.0728e+05
  3.5313e+00   3.5667e+00   1.2698e+00   1.2051e-03   2.6516e-04   4.6891e+05   4.6891e+05
  4.4457e+00   4.4898e+00   1.4999e+00   6.3026e-04   2.1531e-04   7.1114e+05   7.1114e+05
  5.5968e+00   5.6536e+00   1.7304e+00   7.7890e-04   1.7458e-04   1.0816e+06   1.0816e+06
  7.0460e+00   7.1175e+00   1.9606e+00   5.3142e-04   1.4113e-04   1.6552e+06   1.6552e+06
  8.8703e+00   8.9655e+00   2.1915e+00   7.2465e-04   1.1331e-04   2.5678e+06   2.5678e+06
  1.1167e+01   1.1276e+01   2.4208e+00   3.1818e-04   9.0815e-05   3.9973e+06   3.9973e+06
  1.4059e+01   1.4190e+01   2.6506e+00   5.4585e-04   7.4565e-05   5.9295e+06   5.9295e+06
  1.7699e+01   1.7876e+01   2.8815e+00   6.4097e-04   6.1156e-05   8.8147e+06   8.8147e+06
  2.2281e+01   2.2483e+01   3.1108e+00   7.5461e-04   5.0113e-05   1.3128e+07   1.3128e+07
  2.8050e+01   2.8316e+01   3.3414e+00   9.5986e-04   4.1746e-05   1.8917e+07   1.8917e+07
  3.5313e+01   3.5599e+01   3.5703e+00   1.0672e-03   3.5213e-05   2.6589e+07   2.6589e+07
  4.4457e+01   4.4811e+01   3.8004e+00   1.0214e-03   3.0026e-05   3.6567e+07   3.6567e+07
  5.5968e+01   5.6399e+01   4.0304e+00   9.3217e-04   2.5719e-05   4.9841e+07   4.9841e+07
  7.0460e+01   7.0885e+01   4.2591e+00   9.0458e-04   2.2700e-05   6.3979e+07   6.3979e+07
  8.8703e+01   8.9095e+01   4.4877e+00   7.4390e-04   2.0961e-05   7.5036e+07   7.5036e+07
  1.1167e+02   1.1224e+02   4.7186e+00  -2.6694e-05   1.9771e-05   8.4336e+07   8.4336e+07
  1.4059e+02   1.4163e+02   4.9512e+00  -4.1058e-04   1.7628e-05   1.0610e+08   1.0610e+08
  1.7699e+02   1.7977e+02   5.1897e+00   5.7712e-05   1.3818e-05   1.7267e+08   1.7267e+08
  2.2281e+02   2.2510e+02   5.4145e+00   2.6076e-04   1.0460e-05   3.0131e+08   3.0131e+08
