## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8333e+00   1.0395e+00   4.3454e-04   2.4540e-04   5.3706e+05   5.3706e+05
  3.5313e+00   3.5679e+00   1.2701e+00   6.9087e-04   1.9733e-04   8.3062e+05   8.3062e+05
  4.4457e+00   4.4916e+00   1.5003e+00   7.7633e-04   1.5878e-04   1.2829e+06   1.2829e+06
  5.5968e+00   5.6548e+00   1.7306e+00   7.5669e-04   1.2752e-04   1.9888e+06   1.9888e+06
  7.0460e+00   7.1187e+00   1.9608e+00   6.9228e-04   1.0245e-04   3.0816e+06   3.0816e+06
  8.8703e+00   8.9657e+00   2.1915e+00   7.4274e-04   8.1941e-05   4.8170e+06   4.8170e+06
  1.1167e+01   1.1283e+01   2.4213e+00   5.5108e-04   6.5370e-05   7.5688e+06   7.5688e+06
  1.4059e+01   1.4203e+01   2.6515e+00   7.3383e-04   5.2629e-05   1.1677e+07   1.1677e+07
  1.7699e+01   1.7886e+01   2.8821e+00   7.4473e-04   4.2300e-05   1.8076e+07   1.8076e+07
  2.2281e+01   2.2511e+01   3.1121e+00   5.6294e-04   3.3860e-05   2.8210e+07   2.8210e+07
  2.8050e+01   2.8342e+01   3.3424e+00   5.9506e-04   2.7315e-05   4.3348e+07   4.3348e+07
  3.5313e+01   3.5672e+01   3.5724e+00   4.7868e-04   2.2054e-05   6.6496e+07   6.6496e+07
  4.4457e+01   4.4903e+01   3.8025e+00   5.5667e-04   1.7872e-05   1.0125e+08   1.0125e+08
  5.5968e+01   5.6518e+01   4.0325e+00   5.8598e-04   1.4572e-05   1.5231e+08   1.5231e+08
  7.0460e+01   7.1124e+01   4.2624e+00   5.8132e-04   1.1973e-05   2.2563e+08   2.2563e+08
  8.8703e+01   8.9492e+01   4.4921e+00   6.7076e-04   9.9326e-06   3.2784e+08   3.2784e+08
  1.1167e+02   1.1262e+02   4.7220e+00   5.4480e-04   8.3901e-06   4.5945e+08   4.5945e+08
  1.4059e+02   1.4197e+02   4.9536e+00   2.7170e-04   7.0088e-06   6.5841e+08   6.5841e+08
  1.7699e+02   1.7874e+02   5.1839e+00   4.5436e-05   5.7187e-06   9.8899e+08   9.8899e+08
  2.2281e+02   2.2522e+02   5.4151e+00   1.5509e-04   4.6176e-06   1.5169e+09   1.5169e+09
