## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8320e+00   1.0391e+00   2.4167e-04  -5.9884e-04   4.7045e-04   1.4724e+05   1.4724e+05
  3.5313e+00   3.5671e+00   1.2699e+00  -4.1288e-04  -4.1486e-04   3.7948e-04   2.2630e+05   2.2630e+05
  4.4457e+00   4.4898e+00   1.4999e+00  -2.1464e-04  -1.8987e-05   3.0661e-04   3.4663e+05   3.4663e+05
  5.5968e+00   5.6542e+00   1.7305e+00   3.7739e-04   9.8776e-06   2.4774e-04   5.3095e+05   5.3095e+05
  7.0460e+00   7.1177e+00   1.9607e+00   1.3278e-04   1.6879e-04   2.0034e-04   8.1195e+05   8.1195e+05
  8.8703e+00   8.9679e+00   2.1917e+00   6.2894e-05   1.5926e-04   1.6026e-04   1.2688e+06   1.2688e+06
  1.1167e+01   1.1279e+01   2.4210e+00  -5.4511e-05  -9.2440e-05   1.2764e-04   2.0003e+06   2.0003e+06
  1.4059e+01   1.4201e+01   2.6514e+00  -1.1237e-04  -1.1407e-04   1.0326e-04   3.0565e+06   3.0565e+06
  1.7699e+01   1.7888e+01   2.8822e+00  -2.9717e-04   1.7315e-04   8.3207e-05   4.7068e+06   4.7068e+06
  2.2281e+01   2.2499e+01   3.1115e+00  -1.5272e-04   1.1106e-04   6.6678e-05   7.3295e+06   7.3295e+06
  2.8050e+01   2.8349e+01   3.3426e+00  -3.2042e-04   2.1821e-05   5.4092e-05   1.1137e+07   1.1137e+07
  3.5313e+01   3.5674e+01   3.5725e+00  -2.7695e-04  -5.4096e-05   4.3579e-05   1.7159e+07   1.7159e+07
  4.4457e+01   4.4903e+01   3.8025e+00  -1.3878e-04  -2.1367e-04   3.5318e-05   2.6125e+07   2.6125e+07
  5.5968e+01   5.6530e+01   4.0328e+00  -1.4331e-04  -2.7555e-04   2.8624e-05   3.9773e+07   3.9773e+07
  7.0460e+01   7.1156e+01   4.2629e+00  -7.6361e-05  -2.0975e-04   2.3306e-05   5.9994e+07   5.9994e+07
  8.8703e+01   8.9555e+01   4.4929e+00  -8.1792e-05  -2.4760e-04   1.9139e-05   8.8960e+07   8.8960e+07
  1.1167e+02   1.1273e+02   4.7230e+00  -4.2251e-05  -4.6030e-04   1.5751e-05   1.3135e+08   1.3135e+08
  1.4059e+02   1.4176e+02   4.9522e+00  -3.2263e-04  -6.6703e-04   1.3232e-05   1.8612e+08   1.8612e+08
  1.7699e+02   1.7812e+02   5.1805e+00  -3.7160e-04  -7.5592e-04   1.1476e-05   2.4744e+08   2.4744e+08
  2.2281e+02   2.2417e+02   5.4103e+00  -2.1837e-04  -3.9098e-04   1.0274e-05   3.0870e+08   3.0870e+08
