## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 186497242.13538876}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8280e+00   1.0377e+00   4.4154e-02   6.8663e-03   1.1252e+04   1.0777e+04   5.7960e+04
  3.5313e+00   3.5684e+00   1.2702e+00   3.8763e-02   5.5738e-03   1.6988e+04   1.6354e+04   8.6826e+04
  4.4457e+00   4.4909e+00   1.5002e+00   6.4320e-02   4.5479e-03   2.6144e+04   2.4564e+04   1.3273e+05
  5.5968e+00   5.6526e+00   1.7302e+00   9.2609e-02   3.7070e-03   4.0396e+04   3.6972e+04   2.0312e+05
  7.0460e+00   7.1156e+00   1.9604e+00   6.7225e-02   3.0064e-03   5.9990e+04   5.6211e+04   3.0742e+05
  8.8703e+00   8.9598e+00   2.1908e+00   6.7955e-02   2.4329e-03   9.1666e+04   8.5833e+04   4.6894e+05
  1.1167e+01   1.1269e+01   2.4202e+00   4.6529e-02   1.9667e-03   1.3747e+05   1.3136e+05   7.1465e+05
  1.4059e+01   1.4177e+01   2.6497e+00   3.4767e-02   1.6394e-03   1.9562e+05   1.8905e+05   1.0298e+06
  1.7699e+01   1.7866e+01   2.8810e+00   2.4974e-02   1.3620e-03   2.8073e+05   2.7389e+05   1.4797e+06
  2.2281e+01   2.2476e+01   3.1105e+00   2.5461e-02   1.1248e-03   4.1179e+05   4.0157e+05   2.1721e+06
  2.8050e+01   2.8326e+01   3.3418e+00   3.6036e-02   9.3710e-04   5.9941e+05   5.7856e+05   3.1177e+06
  3.5313e+01   3.5662e+01   3.5721e+00   4.4038e-02   7.6771e-04   8.9998e+05   8.6202e+05   4.6845e+06
  4.4457e+01   4.4939e+01   3.8033e+00   2.7726e-02   6.1190e-04   1.3945e+06   1.3569e+06   7.2897e+06
  5.5968e+01   5.6597e+01   4.0340e+00   1.5013e-02   4.7596e-04   2.2764e+06   2.2427e+06   1.1850e+07
  7.0460e+01   7.1259e+01   4.2644e+00  -3.3474e-03   3.7105e-04   3.6778e+06   3.6901e+06   1.9264e+07
  8.8703e+01   8.9658e+01   4.4940e+00  -4.5154e-04   2.9447e-04   5.8566e+06   5.8593e+06   3.0585e+07
  1.1167e+02   1.1286e+02   4.7242e+00   1.7789e-02   2.3588e-04   9.2939e+06   9.1315e+06   4.7981e+07
  1.4059e+02   1.4219e+02   4.9552e+00  -6.8081e-03   1.8428e-04   1.4860e+07   1.4962e+07   7.7348e+07
  1.7699e+02   1.7873e+02   5.1838e+00  -1.3443e-02   1.4944e-04   2.2444e+07   2.2750e+07   1.1627e+08
  2.2281e+02   2.2429e+02   5.4108e+00  -7.4453e-03   1.2833e-04   3.0619e+07   3.0849e+07   1.5804e+08
