## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8323e+00   1.0392e+00   7.1761e-05   6.5207e-04   7.5929e+04   4.1021e+05
  3.5313e+00   3.5683e+00   1.2702e+00   4.0700e-04   5.2570e-04   1.1682e+05   6.3227e+05
  4.4457e+00   4.4920e+00   1.5004e+00  -3.5952e-04   4.2076e-04   1.8236e+05   9.9026e+05
  5.5968e+00   5.6563e+00   1.7309e+00  -4.1636e-04   3.3699e-04   2.8429e+05   1.5515e+06
  7.0460e+00   7.1217e+00   1.9613e+00  -5.0719e-04   2.6865e-04   4.4735e+05   2.4346e+06
  8.8703e+00   8.9653e+00   2.1915e+00   3.6153e-04   2.1409e-04   7.0440e+05   3.8324e+06
  1.1167e+01   1.1285e+01   2.4215e+00   1.3496e-04   1.7080e-04   1.1067e+06   6.0271e+06
  1.4059e+01   1.4207e+01   2.6518e+00   2.1047e-04   1.3651e-04   1.7326e+06   9.4363e+06
  1.7699e+01   1.7890e+01   2.8823e+00  -2.3758e-04   1.0898e-04   2.7182e+06   1.4772e+07
  2.2281e+01   2.2515e+01   3.1122e+00  -3.4156e-04   8.7153e-05   4.2504e+06   2.3142e+07
  2.8050e+01   2.8348e+01   3.3426e+00  -1.6571e-04   6.9871e-05   6.6132e+06   3.6153e+07
  3.5313e+01   3.5683e+01   3.5727e+00  -3.8494e-04   5.6023e-05   1.0287e+07   5.6344e+07
  4.4457e+01   4.4923e+01   3.8029e+00  -3.0440e-04   4.4990e-05   1.5950e+07   8.7557e+07
  5.5968e+01   5.6550e+01   4.0331e+00  -3.0400e-04   3.6247e-05   2.4572e+07   1.3527e+08
  7.0460e+01   7.1194e+01   4.2634e+00  -1.5951e-04   2.9194e-05   3.7879e+07   2.0849e+08
  8.8703e+01   8.9622e+01   4.4936e+00  -2.0482e-04   2.3570e-05   5.8112e+07   3.1960e+08
  1.1167e+02   1.1286e+02   4.7242e+00  -1.3369e-04   1.8965e-05   8.9760e+07   4.9148e+08
  1.4059e+02   1.4205e+02   4.9542e+00  -8.4491e-07   1.5227e-05   1.3924e+08   7.6256e+08
  1.7699e+02   1.7860e+02   5.1831e+00  -1.5540e-05   1.2509e-05   2.0633e+08   1.1335e+09
  2.2281e+02   2.2456e+02   5.4121e+00  -1.4409e-04   1.0624e-05   2.8603e+08   1.5766e+09
