## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8328e+00   1.0394e+00  -2.7626e-04   1.6312e-03   1.2262e+04   7.2205e+04
  3.5313e+00   3.5654e+00   1.2694e+00   1.2612e-03   1.3237e-03   1.8621e+04   1.1053e+05
  4.4457e+00   4.4929e+00   1.5006e+00   2.3851e-04   1.0613e-03   2.8965e+04   1.7152e+05
  5.5968e+00   5.6552e+00   1.7307e+00  -7.9741e-06   8.5296e-04   4.4846e+04   2.6374e+05
  7.0460e+00   7.1170e+00   1.9606e+00   1.3893e-04   6.8616e-04   6.9300e+04   4.0508e+05
  8.8703e+00   8.9678e+00   2.1918e+00   4.9239e-04   5.5328e-04   1.0658e+05   6.2580e+05
  1.1167e+01   1.1278e+01   2.4209e+00  -2.1572e-04   4.4323e-04   1.6608e+05   9.7306e+05
  1.4059e+01   1.4196e+01   2.6510e+00  -2.1674e-04   3.6197e-04   2.4903e+05   1.4736e+06
  1.7699e+01   1.7875e+01   2.8815e+00  -1.5824e-04   2.9507e-04   3.7476e+05   2.2276e+06
  2.2281e+01   2.2485e+01   3.1109e+00  -3.9804e-05   2.4042e-04   5.6449e+05   3.3537e+06
  2.8050e+01   2.8310e+01   3.3413e+00  -2.7340e-04   1.9906e-04   8.2338e+05   4.8861e+06
  3.5313e+01   3.5620e+01   3.5709e+00  -1.5991e-04   1.6579e-04   1.1870e+06   7.0059e+06
  4.4457e+01   4.4808e+01   3.8004e+00  -1.6167e-04   1.4164e-04   1.6264e+06   9.5984e+06
  5.5968e+01   5.6342e+01   4.0295e+00  -5.5638e-04   1.2284e-04   2.1623e+06   1.2626e+07
  7.0460e+01   7.0875e+01   4.2589e+00  -6.1641e-04   1.1032e-04   2.6811e+06   1.5629e+07
  8.8703e+01   8.9293e+01   4.4899e+00  -4.8938e-04   9.9384e-05   3.3034e+06   1.9349e+07
  1.1167e+02   1.1283e+02   4.7239e+00  -2.2533e-04   8.4159e-05   4.6067e+06   2.6939e+07
  1.4059e+02   1.4261e+02   4.9581e+00   6.8049e-05   6.3968e-05   7.9739e+06   4.4508e+07
  1.7699e+02   1.7935e+02   5.1873e+00   1.2019e-04   4.6932e-05   1.4813e+07   8.2770e+07
  2.2281e+02   2.2453e+02   5.4120e+00  -8.1244e-05   3.7416e-05   2.3306e+07   1.3464e+08
