# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 1.037797012995543389e+00 2.277406279225859930e-03
3.531299999999999883e+00 1.032282364082794501e+00 2.375119124541539162e-03
4.445700000000000429e+00 1.028531757124923063e+00 2.449287374003299763e-03
5.596799999999999997e+00 1.024377223486374611e+00 2.524003473829549305e-03
7.046000000000000263e+00 1.022361055394085172e+00 2.491330255456982758e-03
8.870300000000000296e+00 1.020020009644856840e+00 2.500640059719893681e-03
1.116699999999999982e+01 1.016763205232301681e+00 2.534000438542089156e-03
1.405899999999999928e+01 1.014582682147324721e+00 2.572534047617215745e-03
1.769900000000000162e+01 1.013110816733196362e+00 2.641895714069002719e-03
2.228099999999999881e+01 1.011046655184586918e+00 2.634758258786642354e-03
2.805000000000000071e+01 1.009127699565461445e+00 2.583569816470128889e-03
3.531300000000000239e+01 1.006024403597802541e+00 2.556575852041324814e-03
4.445700000000000074e+01 1.003159074720343602e+00 2.564430009429617598e-03
5.596800000000000352e+01 1.000713956252067272e+00 2.594724349097502283e-03
7.045999999999999375e+01 9.980667729308227987e-01 2.697318431987593898e-03
8.870300000000000296e+01 9.967349362244369848e-01 2.669422130254335383e-03
1.116700000000000017e+02 9.972014282371403082e-01 2.366661618068516444e-03
1.405900000000000034e+02 9.985406010065353000e-01 2.022471915988303514e-03
1.769900000000000091e+02 9.979861290641568461e-01 2.005384347507268000e-03
2.228100000000000023e+02 9.959994808311636305e-01 2.079747402971634206e-03
