# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 1.167940600717185320e-03 1.404335064466758853e-04
3.531299999999999883e+00 9.077767836142792632e-04 1.017867880270897262e-04
4.445700000000000429e+00 7.161500129357271753e-04 9.069709787476347223e-05
5.596799999999999997e+00 5.266640119153244513e-04 6.296326633508937242e-05
7.046000000000000263e+00 3.957752310629323624e-04 6.671248578143766650e-05
8.870300000000000296e+00 2.963199728468803311e-04 4.742991995396247121e-05
1.116699999999999982e+01 2.601973842152293910e-04 4.473371011261499105e-05
1.405899999999999928e+01 1.684148349738679915e-04 3.286368256580404887e-05
1.769900000000000162e+01 1.584699526848609350e-04 2.736968885999391376e-05
2.228099999999999881e+01 1.436410053880897300e-04 2.570407427701086559e-05
2.805000000000000071e+01 1.095018672192419956e-04 2.229565318523363260e-05
3.531300000000000239e+01 8.104739387664486685e-05 1.868668081214218000e-05
4.445700000000000074e+01 8.538140744282688810e-05 1.572774589455954407e-05
5.596800000000000352e+01 6.834160153109356017e-05 1.590943600825484326e-05
7.045999999999999375e+01 7.450989038886878294e-05 1.595473327473292247e-05
8.870300000000000296e+01 5.791928612718516962e-05 1.216668599851784137e-05
1.116700000000000017e+02 4.849204183781387594e-05 1.349290321630615057e-05
1.405900000000000034e+02 4.142188913650896194e-05 1.426751237684911854e-05
1.769900000000000091e+02 2.364030479413408857e-05 1.295688045935912327e-05
2.228100000000000023e+02 1.246747675809306799e-05 1.266807236691871800e-05
