# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 1.209792710111092439e-03 1.451049595565948925e-04
3.531299999999999883e+00 9.371658630436223566e-04 1.051503666574444179e-04
4.445700000000000429e+00 7.354934439052864849e-04 9.295290985791741583e-05
5.596799999999999997e+00 5.394527408808895679e-04 6.456629863468717450e-05
7.046000000000000263e+00 4.046348476994770355e-04 6.789115131186587335e-05
8.870300000000000296e+00 3.023549215998171439e-04 4.820873882049629477e-05
1.116699999999999982e+01 2.648182136014680540e-04 4.529650864585889970e-05
1.405899999999999928e+01 1.706694197761017388e-04 3.321511493997140611e-05
1.769900000000000162e+01 1.604033038549426877e-04 2.768442869275174249e-05
2.228099999999999881e+01 1.449506112746668700e-04 2.591911563507231863e-05
2.805000000000000071e+01 1.103084969902967644e-04 2.242655874444344884e-05
3.531300000000000239e+01 8.147734229349024319e-05 1.879852325847232333e-05
4.445700000000000074e+01 8.559025658288025326e-05 1.580019156731569209e-05
5.596800000000000352e+01 6.839167181017899617e-05 1.597108002811993419e-05
7.045999999999999375e+01 7.435833417457632518e-05 1.596690011674971010e-05
8.870300000000000296e+01 5.772445580550105457e-05 1.214357174920358012e-05
1.116700000000000017e+02 4.832111791289397414e-05 1.343635011619564651e-05
1.405900000000000034e+02 4.129707857574232234e-05 1.422595977724501352e-05
1.769900000000000091e+02 2.351825341653638297e-05 1.292267471623800200e-05
2.228100000000000023e+02 1.243150935499237126e-05 1.258062813652643170e-05
