# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 1.716248083905552561e-04 1.356879911502298732e-04
3.531299999999999883e+00 -1.618653853611243547e-04 1.121273813961298939e-04
4.445700000000000429e+00 -6.354372315340971059e-05 9.034186143499888931e-05
5.596799999999999997e+00 -2.794250637405895028e-05 7.317501828897762187e-05
7.046000000000000263e+00 4.733775355688642997e-05 5.382335874210612646e-05
8.870300000000000296e+00 3.875499943587700321e-05 5.351234316587797577e-05
1.116699999999999982e+01 -7.776292300660802594e-06 4.167432797396183961e-05
1.405899999999999928e+01 9.722623943590970503e-05 3.580227011303463490e-05
1.769900000000000162e+01 1.195719873712124136e-05 2.576708316865229594e-05
2.228099999999999881e+01 -1.560881090527616876e-05 2.065693461426517462e-05
2.805000000000000071e+01 -3.855044162249672535e-06 1.808313503667660331e-05
3.531300000000000239e+01 -1.414721868776796790e-05 1.701473346057156487e-05
4.445700000000000074e+01 -4.394408996325568798e-06 1.556651569888695100e-05
5.596800000000000352e+01 1.244882059244433684e-05 1.494206111630124434e-05
7.045999999999999375e+01 -5.018933753278928233e-06 1.111463913666761437e-05
8.870300000000000296e+01 -6.683736300141928018e-06 1.078071274849442588e-05
1.116700000000000017e+02 1.507690360353338857e-05 9.535306370012115983e-06
1.405900000000000034e+02 -1.249810254062600408e-06 9.558541440186856761e-06
1.769900000000000091e+02 4.467726821327524989e-06 8.575457051830208806e-06
2.228100000000000023e+02 1.792534613294106915e-07 6.432513820492345080e-06
