# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 6.441014892490248833e-01 8.508838415430342375e-03
3.531299999999999883e+00 6.562980619392302373e-01 8.560675166505446812e-03
4.445700000000000429e+00 6.519978285184697686e-01 8.605155109559520926e-03
5.596799999999999997e+00 6.543719336604563175e-01 7.422857743968334573e-03
7.046000000000000263e+00 6.512967005983890667e-01 7.806514518766335953e-03
8.870300000000000296e+00 6.511498433486038184e-01 6.894270746666397200e-03
1.116699999999999982e+01 6.503282726844038519e-01 6.983181042292111416e-03
1.405899999999999928e+01 6.503555421724266372e-01 7.092141454310550708e-03
1.769900000000000162e+01 6.498353825398999195e-01 6.972690185832978484e-03
2.228099999999999881e+01 6.493169874597820579e-01 6.693357087262603866e-03
2.805000000000000071e+01 6.502572824046842781e-01 6.564615200829842546e-03
3.531300000000000239e+01 6.490748646499542307e-01 6.436860039545479716e-03
4.445700000000000074e+01 6.497238451808905468e-01 5.994295836391737298e-03
5.596800000000000352e+01 6.494209473960780299e-01 5.739556349454144266e-03
7.045999999999999375e+01 6.490371394559819596e-01 5.418733496843240391e-03
8.870300000000000296e+01 6.480858267662069627e-01 4.943817732852046933e-03
1.116700000000000017e+02 6.465971523798651477e-01 4.298626038971372840e-03
1.405900000000000034e+02 6.473486544107142082e-01 3.583488545879148432e-03
1.769900000000000091e+02 6.475711085286580682e-01 2.941303278817895134e-03
2.228100000000000023e+02 6.468023275420057283e-01 2.473278010913183313e-03
