# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 6.527060035640727120e-01 6.472534364598335303e-03
3.531299999999999883e+00 6.528388596072134398e-01 6.492248479711902956e-03
4.445700000000000429e+00 6.527804795885627787e-01 6.904491023229977417e-03
5.596799999999999997e+00 6.495793445179292025e-01 6.522665868290001071e-03
7.046000000000000263e+00 6.512307346382552042e-01 6.470966321844063424e-03
8.870300000000000296e+00 6.504173724192480188e-01 6.500561258350014311e-03
1.116699999999999982e+01 6.518588631784734133e-01 6.498262364707936035e-03
1.405899999999999928e+01 6.506047911676948736e-01 6.473359018299601128e-03
1.769900000000000162e+01 6.508562856077395598e-01 6.360463191094672432e-03
2.228099999999999881e+01 6.506302028065004128e-01 6.420735815362563388e-03
2.805000000000000071e+01 6.503438013665685524e-01 6.267832930981156840e-03
3.531300000000000239e+01 6.496165932605743043e-01 6.166475623687083137e-03
4.445700000000000074e+01 6.493682368342676980e-01 5.940108928663827628e-03
5.596800000000000352e+01 6.490939630359552348e-01 5.780669453364523439e-03
7.045999999999999375e+01 6.487483748623263935e-01 5.542811763552120755e-03
8.870300000000000296e+01 6.473131585772258223e-01 5.132798217488609635e-03
1.116700000000000017e+02 6.465020207574537769e-01 4.423331688417615412e-03
1.405900000000000034e+02 6.470051257553787183e-01 3.649210560480274125e-03
1.769900000000000091e+02 6.473060226555522600e-01 3.018138846923420788e-03
2.228100000000000023e+02 6.469286389894749467e-01 2.650574771588558396e-03
