## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8315e+00   1.0389e+00   6.4236e-01   7.1151e-03   1.1947e+04   5.6049e+04
  3.5313e+00   3.5678e+00   1.2701e+00   6.3922e-01   5.7128e-03   1.8533e+04   8.6610e+04
  4.4457e+00   4.4915e+00   1.5003e+00   6.3967e-01   4.5586e-03   2.9105e+04   1.3322e+05
  5.5968e+00   5.6526e+00   1.7302e+00   6.3861e-01   3.6551e-03   4.5271e+04   2.0574e+05
  7.0460e+00   7.1158e+00   1.9604e+00   6.3835e-01   2.9315e-03   7.0378e+04   3.1974e+05
  8.8703e+00   8.9661e+00   2.1915e+00   6.3942e-01   2.3450e-03   1.0999e+05   4.9886e+05
  1.1167e+01   1.1279e+01   2.4210e+00   6.3964e-01   1.8583e-03   1.7515e+05   7.9299e+05
  1.4059e+01   1.4200e+01   2.6513e+00   6.4072e-01   1.5168e-03   2.6289e+05   1.2007e+06
  1.7699e+01   1.7880e+01   2.8817e+00   6.3850e-01   1.2311e-03   3.9903e+05   1.8363e+06
  2.2281e+01   2.2511e+01   3.1120e+00   6.3954e-01   9.8849e-04   6.1899e+05   2.8141e+06
  2.8050e+01   2.8321e+01   3.3416e+00   6.3728e-01   8.1098e-04   9.1963e+05   4.1840e+06
  3.5313e+01   3.5650e+01   3.5718e+00   6.3757e-01   6.6683e-04   1.3602e+06   6.2010e+06
  4.4457e+01   4.4840e+01   3.8011e+00   6.3628e-01   5.5785e-04   1.9435e+06   8.9700e+06
  5.5968e+01   5.6395e+01   4.0304e+00   6.3541e-01   4.7986e-04   2.6266e+06   1.2484e+07
  7.0460e+01   7.1039e+01   4.2612e+00   6.3403e-01   4.1504e-04   3.5112e+06   1.6737e+07
  8.8703e+01   8.9527e+01   4.4926e+00   6.3351e-01   3.5100e-04   4.9093e+06   2.3032e+07
  1.1167e+02   1.1291e+02   4.7246e+00   6.3402e-01   2.8378e-04   7.5102e+06   3.5215e+07
  1.4059e+02   1.4197e+02   4.9536e+00   6.3288e-01   2.2749e-04   1.1687e+07   5.3963e+07
  1.7699e+02   1.7784e+02   5.1788e+00   6.3063e-01   1.9807e-04   1.5417e+07   7.0295e+07
  2.2281e+02   2.2384e+02   5.4088e+00   6.3077e-01   1.8819e-04   1.7077e+07   7.7654e+07
