## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8338e+00   1.0397e+00  -1.6533e-03   1.2118e-03   2.1899e+04   9.8014e+04
  3.5313e+00   3.5688e+00   1.2703e+00   1.7076e-03   9.7241e-04   3.4010e+04   1.5260e+05
  4.4457e+00   4.4950e+00   1.5011e+00  -5.6234e-04   7.7445e-04   5.3620e+04   2.3970e+05
  5.5968e+00   5.6569e+00   1.7310e+00   1.6116e-04   6.1422e-04   8.5243e+04   3.7686e+05
  7.0460e+00   7.1188e+00   1.9608e+00  -5.2418e-04   4.9368e-04   1.3195e+05   5.8682e+05
  8.8703e+00   8.9630e+00   2.1912e+00   1.0177e-04   3.9746e-04   2.0357e+05   9.1692e+05
  1.1167e+01   1.1288e+01   2.4218e+00  -7.8044e-04   3.1764e-04   3.1875e+05   1.4307e+06
  1.4059e+01   1.4198e+01   2.6511e+00  -3.6258e-04   2.5478e-04   4.9544e+05   2.2162e+06
  1.7699e+01   1.7877e+01   2.8816e+00  -4.3396e-04   2.0594e-04   7.5828e+05   3.4041e+06
  2.2281e+01   2.2497e+01   3.1114e+00  -6.2483e-04   1.6771e-04   1.1434e+06   5.1591e+06
  2.8050e+01   2.8310e+01   3.3412e+00  -4.6473e-04   1.3776e-04   1.6945e+06   7.6671e+06
  3.5313e+01   3.5627e+01   3.5711e+00  -4.1083e-04   1.1429e-04   2.4621e+06   1.1145e+07
  4.4457e+01   4.4852e+01   3.8014e+00  -2.2035e-04   9.5707e-05   3.5110e+06   1.5930e+07
  5.5968e+01   5.6436e+01   4.0311e+00   5.4602e-04   8.0572e-05   4.9539e+06   2.2403e+07
  7.0460e+01   7.0963e+01   4.2602e+00   8.1160e-04   6.9396e-05   6.6779e+06   3.0059e+07
  8.8703e+01   8.9274e+01   4.4897e+00   1.0766e-03   6.1718e-05   8.4428e+06   3.7939e+07
  1.1167e+02   1.1263e+02   4.7220e+00   1.3391e-03   5.3926e-05   1.1059e+07   5.0015e+07
  1.4059e+02   1.4180e+02   4.9523e+00   1.8264e-03   4.5353e-05   1.5635e+07   7.0252e+07
  1.7699e+02   1.7801e+02   5.1797e+00   1.6780e-03   3.9783e-05   2.0320e+07   9.1533e+07
  2.2281e+02   2.2248e+02   5.4027e+00   1.2948e-03   3.9914e-05   2.0187e+07   9.1838e+07
