## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8306e+00   1.0387e+00  -4.7178e-03   4.0987e-03   1.9071e+03   1.1683e+04
  3.5313e+00   3.5644e+00   1.2691e+00   6.6559e-04   3.3887e-03   2.7899e+03   1.7487e+04
  4.4457e+00   4.4879e+00   1.4995e+00  -1.3988e-04   2.7127e-03   4.3536e+03   2.7501e+04
  5.5968e+00   5.6484e+00   1.7295e+00  -6.3138e-05   2.1801e-03   6.7407e+03   4.2098e+04
  7.0460e+00   7.1218e+00   1.9613e+00  -1.0752e-03   1.7631e-03   1.0306e+04   6.2330e+04
  8.8703e+00   8.9677e+00   2.1917e+00   7.8561e-04   1.4096e-03   1.6123e+04   9.6415e+04
  1.1167e+01   1.1260e+01   2.4193e+00  -2.4485e-04   1.1632e-03   2.3678e+04   1.4557e+05
  1.4059e+01   1.4185e+01   2.6503e+00   2.6827e-04   9.6941e-04   3.4091e+04   2.1123e+05
  1.7699e+01   1.7872e+01   2.8813e+00  -1.2263e-03   8.1414e-04   4.8334e+04   3.0567e+05
  2.2281e+01   2.2448e+01   3.1092e+00   2.7812e-04   6.7509e-04   7.0296e+04   4.4320e+05
  2.8050e+01   2.8283e+01   3.3403e+00   1.4140e-03   5.7850e-04   9.5730e+04   5.8478e+05
  3.5313e+01   3.5523e+01   3.5682e+00   9.5592e-04   5.1532e-04   1.2064e+05   7.4920e+05
  4.4457e+01   4.4689e+01   3.7977e+00  -8.2123e-04   4.6112e-04   1.5067e+05   9.2751e+05
  5.5968e+01   5.6236e+01   4.0275e+00  -4.2031e-04   4.2029e-04   1.8137e+05   1.1165e+06
  7.0460e+01   7.0411e+01   4.2524e+00   9.2038e-04   4.1745e-04   1.8385e+05   1.1326e+06
  8.8703e+01   8.6910e+01   4.4631e+00   1.3944e-03   5.5611e-04   1.0359e+05   6.6340e+05
  1.1167e+02   1.1494e+02   4.7422e+00   1.0592e-03   7.8427e-04   5.2086e+04   3.0175e+05
  1.4059e+02   1.4531e+02   4.9771e+00  -7.0331e-05   3.1542e-04   3.2202e+05   1.7982e+06
  1.7699e+02   1.8139e+02   5.1988e+00   1.1288e-04   1.4324e-04   1.5614e+06   9.3168e+06
  2.2281e+02   2.2629e+02   5.4197e+00   1.3234e-03   9.4900e-05   3.5573e+06   2.1490e+07
