## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8325e+00   1.0393e+00   7.5195e-05  -7.9022e-04   7.6626e-04   5.4930e+04   3.0637e+05
  3.5313e+00   3.5676e+00   1.2700e+00   9.9615e-04  -4.7363e-04   6.1554e-04   8.5126e+04   4.7484e+05
  4.4457e+00   4.4920e+00   1.5004e+00  -2.5850e-04  -1.6262e-04   4.9406e-04   1.3213e+05   7.4172e+05
  5.5968e+00   5.6555e+00   1.7308e+00   2.7694e-04  -4.5977e-04   3.9498e-04   2.0673e+05   1.1600e+06
  7.0460e+00   7.1190e+00   1.9609e+00  -3.5605e-04  -8.0482e-05   3.1711e-04   3.2074e+05   1.8112e+06
  8.8703e+00   8.9667e+00   2.1916e+00   1.3813e-05  -5.7704e-04   2.5327e-04   5.0280e+05   2.8350e+06
  1.1167e+01   1.1283e+01   2.4214e+00   7.5930e-05   2.3083e-04   2.0134e-04   7.9564e+05   4.4727e+06
  1.4059e+01   1.4208e+01   2.6519e+00  -1.3679e-04   4.1173e-05   1.6161e-04   1.2349e+06   6.9394e+06
  1.7699e+01   1.7889e+01   2.8822e+00   9.8357e-06   3.0474e-05   1.2938e-04   1.9266e+06   1.0815e+07
  2.2281e+01   2.2511e+01   3.1121e+00   5.6995e-05  -1.3328e-05   1.0351e-04   3.0102e+06   1.6906e+07
  2.8050e+01   2.8350e+01   3.3426e+00   2.7742e-04  -1.4872e-04   8.3091e-05   4.6716e+06   2.6180e+07
  3.5313e+01   3.5675e+01   3.5725e+00   2.1659e-05  -1.1258e-04   6.6900e-05   7.2063e+06   4.0388e+07
  4.4457e+01   4.4907e+01   3.8026e+00   5.8010e-05  -3.0389e-05   5.3930e-05   1.1089e+07   6.1722e+07
  5.5968e+01   5.6524e+01   4.0327e+00   1.8219e-05  -2.7450e-06   4.3820e-05   1.6796e+07   9.3014e+07
  7.0460e+01   7.1159e+01   4.2629e+00   6.9143e-05  -1.6039e-05   3.5719e-05   2.5279e+07   1.3965e+08
  8.8703e+01   8.9574e+01   4.4931e+00   4.7370e-05  -5.4509e-06   2.9153e-05   3.7950e+07   2.0873e+08
  1.1167e+02   1.1279e+02   4.7235e+00   5.3330e-05   4.9227e-05   2.3849e-05   5.6705e+07   3.1379e+08
  1.4059e+02   1.4195e+02   4.9535e+00  -3.5321e-05   1.1175e-04   1.9472e-05   8.5067e+07   4.7352e+08
  1.7699e+02   1.7868e+02   5.1836e+00  -1.0111e-04   1.7891e-04   1.5988e-05   1.2617e+08   7.0863e+08
  2.2281e+02   2.2442e+02   5.4115e+00  -1.3293e-04   2.1062e-04   1.3642e-05   1.7331e+08   9.7102e+08
