## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8320e+00   1.0390e+00   6.2969e-01   1.6151e-03   2.4012e+05   2.4012e+05
  3.5313e+00   3.5683e+00   1.2702e+00   6.2954e-01   1.2992e-03   3.7109e+05   3.7109e+05
  4.4457e+00   4.4917e+00   1.5003e+00   6.2990e-01   1.0485e-03   5.6973e+05   5.6973e+05
  5.5968e+00   5.6541e+00   1.7305e+00   6.2907e-01   8.4282e-04   8.8178e+05   8.8178e+05
  7.0460e+00   7.1163e+00   1.9605e+00   6.2949e-01   6.8074e-04   1.3516e+06   1.3516e+06
  8.8703e+00   8.9669e+00   2.1916e+00   6.2961e-01   5.4874e-04   2.0802e+06   2.0802e+06
  1.1167e+01   1.1276e+01   2.4207e+00   6.2906e-01   4.3894e-04   3.2509e+06   3.2509e+06
  1.4059e+01   1.4197e+01   2.6511e+00   6.2948e-01   3.5848e-04   4.8740e+06   4.8740e+06
  1.7699e+01   1.7879e+01   2.8816e+00   6.2928e-01   2.9174e-04   7.3591e+06   7.3591e+06
  2.2281e+01   2.2477e+01   3.1105e+00   6.2983e-01   2.3899e-04   1.0966e+07   1.0966e+07
  2.8050e+01   2.8298e+01   3.3408e+00   6.2980e-01   2.0014e-04   1.5636e+07   1.5636e+07
  3.5313e+01   3.5580e+01   3.5698e+00   6.3058e-01   1.7198e-04   2.1178e+07   2.1178e+07
  4.4457e+01   4.4683e+01   3.7975e+00   6.3221e-01   1.5391e-04   2.6441e+07   2.6441e+07
  5.5968e+01   5.6193e+01   4.0267e+00   6.3387e-01   1.4447e-04   3.0010e+07   3.0010e+07
  7.0460e+01   7.0555e+01   4.2544e+00   6.3716e-01   1.4277e-04   3.0728e+07   3.0728e+07
  8.8703e+01   8.9063e+01   4.4873e+00   6.4112e-01   1.4370e-04   3.0333e+07   3.0333e+07
  1.1167e+02   1.1402e+02   4.7344e+00   6.3960e-01   1.0976e-04   5.1997e+07   5.1997e+07
  1.4059e+02   1.4408e+02   4.9685e+00   6.3921e-01   6.0609e-05   1.7051e+08   1.7051e+08
  1.7699e+02   1.7963e+02   5.1889e+00   6.4138e-01   3.8077e-05   4.3201e+08   4.3201e+08
  2.2281e+02   2.2285e+02   5.4044e+00   6.4281e-01   3.3176e-05   5.6909e+08   5.6909e+08
