## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8316e+00   1.0389e+00  -1.7203e-03   2.9783e-04   3.6240e+05   3.6240e+05
  3.5313e+00   3.5670e+00   1.2698e+00  -1.3174e-03   2.4169e-04   5.5031e+05   5.5031e+05
  4.4457e+00   4.4904e+00   1.5000e+00  -1.5195e-03   1.9569e-04   8.3940e+05   8.3940e+05
  5.5968e+00   5.6524e+00   1.7302e+00  -1.0994e-03   1.5878e-04   1.2750e+06   1.2750e+06
  7.0460e+00   7.1167e+00   1.9605e+00  -1.5685e-03   1.2908e-04   1.9293e+06   1.9293e+06
  8.8703e+00   8.9618e+00   2.1910e+00  -1.4943e-03   1.0469e-04   2.9328e+06   2.9328e+06
  1.1167e+01   1.1274e+01   2.4206e+00  -1.5817e-03   8.4692e-05   4.4817e+06   4.4817e+06
  1.4059e+01   1.4190e+01   2.6505e+00  -1.3828e-03   6.9730e-05   6.6113e+06   6.6113e+06
  1.7699e+01   1.7868e+01   2.8810e+00  -1.5972e-03   5.7698e-05   9.6563e+06   9.6563e+06
  2.2281e+01   2.2479e+01   3.1106e+00  -1.5738e-03   4.7568e-05   1.4207e+07   1.4207e+07
  2.8050e+01   2.8295e+01   3.3407e+00  -1.6922e-03   4.0018e-05   2.0073e+07   2.0073e+07
  3.5313e+01   3.5604e+01   3.5704e+00  -1.1561e-03   3.3975e-05   2.7850e+07   2.7850e+07
  4.4457e+01   4.4792e+01   3.8000e+00  -1.0909e-03   2.9132e-05   3.7878e+07   3.7878e+07
  5.5968e+01   5.6407e+01   4.0306e+00  -7.5504e-04   2.5265e-05   5.0360e+07   5.0360e+07
  7.0460e+01   7.1081e+01   4.2618e+00  -9.6611e-04   2.1469e-05   6.9743e+07   6.9743e+07
  8.8703e+01   8.9510e+01   4.4924e+00  -1.0423e-03   1.7855e-05   1.0083e+08   1.0083e+08
  1.1167e+02   1.1305e+02   4.7259e+00  -8.0622e-04   1.4348e-05   1.5615e+08   1.5615e+08
  1.4059e+02   1.4271e+02   4.9588e+00  -8.4978e-05   1.0427e-05   2.9565e+08   2.9565e+08
  1.7699e+02   1.7933e+02   5.1872e+00   3.8558e-04   7.5931e-06   5.5756e+08   5.5756e+08
  2.2281e+02   2.2461e+02   5.4123e+00   4.1138e-04   6.0634e-06   8.7436e+08   8.7436e+08
