## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8310e+00   1.0387e+00   1.1234e-03   4.6491e-04   1.5009e+05   1.5009e+05
  3.5313e+00   3.5635e+00   1.2688e+00   1.2290e-03   3.8204e-04   2.2227e+05   2.2227e+05
  4.4457e+00   4.4850e+00   1.4988e+00   1.5803e-03   3.1686e-04   3.2312e+05   3.2312e+05
  5.5968e+00   5.6508e+00   1.7299e+00   1.6303e-03   2.6087e-04   4.7668e+05   4.7668e+05
  7.0460e+00   7.1187e+00   1.9608e+00   1.9126e-03   2.1176e-04   7.2342e+05   7.2342e+05
  8.8703e+00   8.9693e+00   2.1919e+00   1.2740e-03   1.7003e-04   1.1221e+06   1.1221e+06
  1.1167e+01   1.1269e+01   2.4201e+00   8.0694e-04   1.3701e-04   1.7283e+06   1.7283e+06
  1.4059e+01   1.4184e+01   2.6502e+00   6.8905e-04   1.1414e-04   2.4899e+06   2.4899e+06
  1.7699e+01   1.7882e+01   2.8818e+00  -4.9233e-04   9.3941e-05   3.6760e+06   3.6760e+06
  2.2281e+01   2.2459e+01   3.1097e+00   1.3848e-04   7.7124e-05   5.4539e+06   5.4539e+06
  2.8050e+01   2.8330e+01   3.3419e+00  -1.5631e-04   6.5769e-05   7.4998e+06   7.4998e+06
  3.5313e+01   3.5679e+01   3.5725e+00  -6.9391e-04   5.3562e-05   1.1308e+07   1.1308e+07
  4.4457e+01   4.4937e+01   3.8032e+00  -4.9114e-04   4.2698e-05   1.7794e+07   1.7794e+07
  5.5968e+01   5.6652e+01   4.0349e+00   1.2184e-04   3.3024e-05   2.9746e+07   2.9746e+07
  7.0460e+01   7.1221e+01   4.2638e+00   2.7788e-04   2.5728e-05   4.9007e+07   4.9007e+07
  8.8703e+01   8.9461e+01   4.4918e+00   3.4771e-04   2.1313e-05   7.1416e+07   7.1416e+07
  1.1167e+02   1.1274e+02   4.7231e+00   4.0300e-04   1.7634e-05   1.0433e+08   1.0433e+08
  1.4059e+02   1.4179e+02   4.9523e+00  -9.6968e-05   1.4793e-05   1.4824e+08   1.4824e+08
  1.7699e+02   1.7891e+02   5.1848e+00   8.2882e-04   1.2402e-05   2.1092e+08   2.1092e+08
  2.2281e+02   2.2433e+02   5.4110e+00   6.0445e-04   1.0465e-05   2.9623e+08   2.9623e+08
