## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8330e+00   1.0394e+00   6.9849e-05   1.2046e-04   1.5050e-04   1.4252e+06   1.4252e+06
  3.5313e+00   3.5680e+00   1.2701e+00   1.1196e-04   6.4010e-05   1.2106e-04   2.2027e+06   2.2027e+06
  4.4457e+00   4.4917e+00   1.5003e+00   9.3283e-05  -2.3476e-04   9.7047e-05   3.4276e+06   3.4276e+06
  5.5968e+00   5.6553e+00   1.7307e+00   1.0997e-04   1.9084e-04   7.7924e-05   5.3164e+06   5.3164e+06
  7.0460e+00   7.1201e+00   1.9610e+00   1.2532e-04  -6.2351e-05   6.2549e-05   8.2513e+06   8.2513e+06
  8.8703e+00   8.9664e+00   2.1915e+00   4.3355e-05  -7.4680e-07   5.0057e-05   1.2883e+07   1.2883e+07
  1.1167e+01   1.1283e+01   2.4213e+00   2.7307e-04  -1.1006e-04   3.9980e-05   2.0196e+07   2.0196e+07
  1.4059e+01   1.4202e+01   2.6514e+00   1.5345e-04  -3.2229e-05   3.2248e-05   3.1043e+07   3.1043e+07
  1.7699e+01   1.7884e+01   2.8819e+00   1.8892e-04  -9.6913e-05   2.6014e-05   4.7703e+07   4.7703e+07
  2.2281e+01   2.2507e+01   3.1118e+00   1.1777e-04  -5.6890e-05   2.0932e-05   7.3679e+07   7.3679e+07
  2.8050e+01   2.8337e+01   3.3421e+00   2.4425e-04  -2.0303e-05   1.6970e-05   1.1209e+08   1.1209e+08
  3.5313e+01   3.5669e+01   3.5723e+00   2.0957e-04  -4.2503e-05   1.3767e-05   1.7032e+08   1.7032e+08
  4.4457e+01   4.4898e+01   3.8024e+00   5.7613e-05   5.6438e-05   1.1210e-05   2.5689e+08   2.5689e+08
  5.5968e+01   5.6520e+01   4.0326e+00  -6.2926e-05   1.0505e-04   9.1290e-06   3.8736e+08   3.8736e+08
  7.0460e+01   7.1164e+01   4.2630e+00  -2.3272e-04   7.3872e-05   7.4636e-06   5.7952e+08   5.7952e+08
  8.8703e+01   8.9609e+01   4.4934e+00  -2.9155e-04   6.8378e-05   6.0591e-06   8.7931e+08   8.7931e+08
  1.1167e+02   1.1294e+02   4.7248e+00  -2.4391e-04   9.2109e-05   4.8413e-06   1.3773e+09   1.3773e+09
  1.4059e+02   1.4221e+02   4.9553e+00  -2.6063e-04  -3.4140e-05   3.7685e-06   2.2732e+09   2.2732e+09
  1.7699e+02   1.7876e+02   5.1840e+00  -3.7236e-04  -1.3765e-04   3.0298e-06   3.5168e+09   3.5168e+09
  2.2281e+02   2.2463e+02   5.4124e+00  -6.1092e-04  -2.4699e-05   2.5214e-06   5.0779e+09   5.0779e+09
