## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8317e+00   1.0390e+00   6.4034e-01   1.2375e-02   3.9980e+03   3.9980e+03
  3.5313e+00   3.5585e+00   1.2674e+00   6.4925e-01   1.0512e-02   5.5410e+03   5.5410e+03
  4.4457e+00   4.4740e+00   1.4964e+00   6.5155e-01   8.9192e-03   7.6960e+03   7.6960e+03
  5.5968e+00   5.6354e+00   1.7271e+00   6.5641e-01   7.8572e-03   9.9170e+03   9.9170e+03
  7.0460e+00   7.0798e+00   1.9553e+00   6.4186e-01   7.0626e-03   1.2274e+04   1.2274e+04
  8.8703e+00   8.9986e+00   2.1951e+00   6.3806e-01   5.9475e-03   1.7308e+04   1.7308e+04
  1.1167e+01   1.1194e+01   2.4134e+00   6.3520e-01   4.6173e-03   2.8717e+04   2.8717e+04
  1.4059e+01   1.4133e+01   2.6465e+00   6.2833e-01   4.4818e-03   3.0480e+04   3.0480e+04
  1.7699e+01   1.7885e+01   2.8819e+00   6.2612e-01   4.0353e-03   3.7598e+04   3.7598e+04
  2.2281e+01   2.2365e+01   3.1055e+00   6.2945e-01   3.2152e-03   5.9225e+04   5.9225e+04
  2.8050e+01   2.8291e+01   3.3405e+00   6.3696e-01   2.9067e-03   7.2461e+04   7.2461e+04
  3.5313e+01   3.5511e+01   3.5678e+00   6.3914e-01   2.6810e-03   8.5179e+04   8.5179e+04
  4.4457e+01   4.4915e+01   3.8027e+00   6.2551e-01   2.4416e-03   1.0270e+05   1.0270e+05
  5.5968e+01   5.7164e+01   4.0441e+00   6.2410e-01   1.6508e-03   2.2467e+05   2.2467e+05
  7.0460e+01   7.1655e+01   4.2699e+00   6.2889e-01   1.0346e-03   5.7201e+05   5.7201e+05
  8.8703e+01   9.0668e+01   4.5053e+00   6.2666e-01   6.6542e-04   1.3827e+06   1.3827e+06
  1.1167e+02   1.1418e+02   4.7358e+00   6.2851e-01   3.9812e-04   3.8627e+06   3.8627e+06
  1.4059e+02   1.4101e+02   4.9468e+00   6.2935e-01   3.0091e-04   6.7617e+06   6.7617e+06
  1.7699e+02   1.7982e+02   5.1899e+00   6.3441e-01   2.4787e-04   9.9648e+06   9.9648e+06
  2.2281e+02   2.2628e+02   5.4197e+00   6.3771e-01   1.8044e-04   1.8804e+07   1.8804e+07
