## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8325e+00   1.0393e+00   1.6135e-03   3.0403e-04   3.5153e+05   3.5153e+05
  3.5313e+00   3.5680e+00   1.2701e+00   1.9004e-03   2.4335e-04   5.4872e+05   5.4872e+05
  4.4457e+00   4.4922e+00   1.5005e+00   2.3206e-03   1.9543e-04   8.5076e+05   8.5076e+05
  5.5968e+00   5.6551e+00   1.7307e+00   2.1454e-03   1.5684e-04   1.3210e+06   1.3210e+06
  7.0460e+00   7.1195e+00   1.9609e+00   2.2389e-03   1.2565e-04   2.0580e+06   2.0580e+06
  8.8703e+00   8.9647e+00   2.1914e+00   2.1052e-03   1.0050e-04   3.2170e+06   3.2170e+06
  1.1167e+01   1.1282e+01   2.4213e+00   2.0761e-03   8.0353e-05   5.0326e+06   5.0326e+06
  1.4059e+01   1.4203e+01   2.6515e+00   2.2860e-03   6.4820e-05   7.7336e+06   7.7336e+06
  1.7699e+01   1.7882e+01   2.8818e+00   2.3962e-03   5.2262e-05   1.1897e+07   1.1897e+07
  2.2281e+01   2.2501e+01   3.1116e+00   2.3155e-03   4.2211e-05   1.8237e+07   1.8237e+07
  2.8050e+01   2.8330e+01   3.3419e+00   2.2668e-03   3.4354e-05   2.7532e+07   2.7532e+07
  3.5313e+01   3.5654e+01   3.5719e+00   2.1346e-03   2.8138e-05   4.1040e+07   4.1040e+07
  4.4457e+01   4.4885e+01   3.8021e+00   1.7633e-03   2.3085e-05   6.0972e+07   6.0972e+07
  5.5968e+01   5.6495e+01   4.0321e+00   1.6218e-03   1.9010e-05   8.9913e+07   8.9913e+07
  7.0460e+01   7.1089e+01   4.2619e+00   1.3860e-03   1.5796e-05   1.3023e+08   1.3023e+08
  8.8703e+01   8.9506e+01   4.4923e+00   9.8232e-04   1.3235e-05   1.8549e+08   1.8549e+08
  1.1167e+02   1.1275e+02   4.7232e+00   5.2646e-04   1.0989e-05   2.6910e+08   2.6910e+08
  1.4059e+02   1.4206e+02   4.9543e+00   1.1008e-04   8.9528e-06   4.0540e+08   4.0540e+08
  1.7699e+02   1.7838e+02   5.1819e+00  -2.6696e-04   7.3889e-06   5.9517e+08   5.9517e+08
  2.2281e+02   2.2286e+02   5.4045e+00  -3.0103e-04   7.1181e-06   6.4132e+08   6.4132e+08
