## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8318e+00   1.0390e+00   2.1566e-03   4.7327e-04   1.4210e+05   1.4210e+05
  3.5313e+00   3.5679e+00   1.2701e+00   2.2406e-03   3.8206e-04   2.1805e+05   2.1805e+05
  4.4457e+00   4.4904e+00   1.5001e+00   1.4556e-03   3.0913e-04   3.3307e+05   3.3307e+05
  5.5968e+00   5.6533e+00   1.7303e+00   1.3361e-03   2.5023e-04   5.0832e+05   5.0832e+05
  7.0460e+00   7.1181e+00   1.9607e+00   1.6431e-03   2.0209e-04   7.7936e+05   7.7936e+05
  8.8703e+00   8.9697e+00   2.1919e+00   1.5553e-03   1.6170e-04   1.2173e+06   1.2173e+06
  1.1167e+01   1.1275e+01   2.4207e+00   1.5475e-03   1.2876e-04   1.9198e+06   1.9198e+06
  1.4059e+01   1.4197e+01   2.6511e+00   1.5107e-03   1.0535e-04   2.8675e+06   2.8675e+06
  1.7699e+01   1.7884e+01   2.8819e+00   1.3709e-03   8.5928e-05   4.3106e+06   4.3106e+06
  2.2281e+01   2.2490e+01   3.1111e+00   1.2021e-03   6.9382e-05   6.6119e+06   6.6119e+06
  2.8050e+01   2.8329e+01   3.3419e+00   1.2310e-03   5.7025e-05   9.7877e+06   9.7877e+06
  3.5313e+01   3.5638e+01   3.5714e+00   1.2389e-03   4.6952e-05   1.4438e+07   1.4438e+07
  4.4457e+01   4.4836e+01   3.8010e+00   1.1153e-03   3.9146e-05   2.0770e+07   2.0770e+07
  5.5968e+01   5.6451e+01   4.0314e+00   1.1992e-03   3.2906e-05   2.9395e+07   2.9395e+07
  7.0460e+01   7.1103e+01   4.2621e+00   1.2831e-03   2.7606e-05   4.1764e+07   4.1764e+07
  8.8703e+01   8.9542e+01   4.4927e+00   1.3765e-03   2.2978e-05   6.0280e+07   6.0280e+07
  1.1167e+02   1.1307e+02   4.7260e+00   1.1020e-03   1.8306e-05   9.4983e+07   9.4983e+07
  1.4059e+02   1.4241e+02   4.9567e+00   3.7580e-04   1.3664e-05   1.7047e+08   1.7047e+08
  1.7699e+02   1.7834e+02   5.1817e+00  -2.3946e-04   1.1045e-05   2.6089e+08   2.6089e+08
  2.2281e+02   2.2339e+02   5.4068e+00  -1.4793e-04   1.0227e-05   3.0433e+08   3.0433e+08
