## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8319e+00   1.0391e+00  -8.4331e-04   2.1449e-03   1.3380e-03   1.7827e+04   1.7827e+04
  3.5313e+00   3.5673e+00   1.2699e+00  -6.4961e-04   8.0340e-04   1.0882e-03   2.6948e+04   2.6948e+04
  4.4457e+00   4.4891e+00   1.4998e+00  -7.7816e-04   1.2526e-03   8.7890e-04   4.1312e+04   4.1312e+04
  5.5968e+00   5.6534e+00   1.7303e+00   2.7565e-04   1.2546e-03   7.1603e-04   6.2243e+04   6.2243e+04
  7.0460e+00   7.1137e+00   1.9601e+00   2.6769e-04  -3.5586e-04   5.7972e-04   9.4956e+04   9.4956e+04
  8.8703e+00   8.9681e+00   2.1918e+00  -6.1529e-04  -7.5486e-04   4.6606e-04   1.4692e+05   1.4692e+05
  1.1167e+01   1.1272e+01   2.4204e+00  -8.4520e-05   9.0704e-04   3.7194e-04   2.3068e+05   2.3068e+05
  1.4059e+01   1.4191e+01   2.6507e+00   5.9970e-05  -1.3932e-04   3.0704e-04   3.3851e+05   3.3851e+05
  1.7699e+01   1.7877e+01   2.8816e+00  -1.0046e-04  -3.4818e-04   2.5471e-04   4.9189e+05   4.9189e+05
  2.2281e+01   2.2453e+01   3.1095e+00   3.1941e-04  -5.1446e-04   2.0993e-04   7.2409e+05   7.2409e+05
  2.8050e+01   2.8269e+01   3.3398e+00   4.5572e-04  -6.2540e-04   1.8281e-04   9.5491e+05   9.5491e+05
  3.5313e+01   3.5520e+01   3.5681e+00   2.0086e-04  -7.0805e-04   1.6203e-04   1.2156e+06   1.2156e+06
  4.4457e+01   4.4671e+01   3.7973e+00  -5.7228e-04  -5.1950e-04   1.4566e-04   1.5040e+06   1.5040e+06
  5.5968e+01   5.6177e+01   4.0265e+00  -1.4105e-03   1.1260e-04   1.3523e-04   1.7450e+06   1.7450e+06
  7.0460e+01   7.0335e+01   4.2513e+00  -2.0840e-03  -1.4888e-04   1.3718e-04   1.6959e+06   1.6959e+06
  8.8703e+01   8.6917e+01   4.4631e+00  -3.1693e-03   1.2451e-03   1.8455e-04   9.3701e+05   9.3701e+05
  1.1167e+02   1.1450e+02   4.7384e+00  -6.3517e-04  -1.4554e-03   2.5082e-04   5.0727e+05   5.0727e+05
  1.4059e+02   1.4531e+02   4.9772e+00   2.3251e-03  -3.2764e-04   1.0536e-04   2.8749e+06   2.8749e+06
  1.7699e+02   1.8188e+02   5.2016e+00  -9.7894e-06  -1.7393e-04   4.6396e-05   1.4825e+07   1.4825e+07
  2.2281e+02   2.2636e+02   5.4200e+00  -8.5420e-04   6.8927e-04   3.0562e-05   3.4166e+07   3.4166e+07
