## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 3216330.2389813997}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8324e+00   1.0392e+00  -6.7864e-03   2.3892e-02   9.0819e+02   9.1440e+02   4.7210e+03
  3.5313e+00   3.5612e+00   1.2682e+00   3.4969e-02   1.9946e-02   1.3578e+03   1.3119e+03   6.9240e+03
  4.4457e+00   4.4945e+00   1.5010e+00   1.4380e-02   1.6142e-02   2.0318e+03   2.0030e+03   1.0506e+04
  5.5968e+00   5.6548e+00   1.7305e+00   8.0073e-03   1.3425e-02   2.9194e+03   2.8962e+03   1.5462e+04
  7.0460e+00   7.1021e+00   1.9585e+00   1.2088e-01   1.1574e-02   4.3674e+03   3.8964e+03   2.2278e+04
  8.8703e+00   8.9850e+00   2.1937e+00   1.1407e-01   9.2024e-03   6.8666e+03   6.1635e+03   3.3828e+04
  1.1167e+01   1.1231e+01   2.4168e+00   5.5515e-02   7.2916e-03   1.0362e+04   9.8171e+03   5.1150e+04
  1.4059e+01   1.4202e+01   2.6514e+00   9.6197e-02   6.4220e-03   1.3873e+04   1.2656e+04   7.0275e+04
  1.7699e+01   1.7910e+01   2.8833e+00   1.1692e-01   5.4549e-03   1.9592e+04   1.7541e+04   9.8167e+04
  2.2281e+01   2.2376e+01   3.1060e+00   5.0810e-02   4.5234e-03   2.6806e+04   2.5510e+04   1.3426e+05
  2.8050e+01   2.8223e+01   3.3381e+00  -6.0534e-02   4.0287e-03   3.0212e+04   3.2159e+04   1.5965e+05
  3.5313e+01   3.5523e+01   3.5682e+00  -8.5996e-02   3.6929e-03   3.4982e+04   3.8273e+04   1.8607e+05
  4.4457e+01   4.4721e+01   3.7984e+00  -5.8933e-02   3.4449e-03   4.1390e+04   4.3982e+04   2.1648e+05
  5.5968e+01   5.6619e+01   4.0344e+00   2.2642e-03   2.9006e-03   6.2179e+04   6.2039e+04   3.0843e+05
  7.0460e+01   7.1040e+01   4.2612e+00  -2.6119e-02   2.4481e-03   8.4815e+04   8.7090e+04   4.1949e+05
  8.8703e+01   8.9187e+01   4.4885e+00  -5.4860e-02   2.1672e-03   1.0503e+05   1.1113e+05   5.3321e+05
  1.1167e+02   1.1383e+02   4.7326e+00  -1.9743e-02   1.6393e-03   1.9039e+05   1.9423e+05   9.6007e+05
  1.4059e+02   1.4303e+02   4.9611e+00   1.8222e-02   1.0305e-03   5.0051e+05   4.9155e+05   2.5446e+06
  1.7699e+02   1.7889e+02   5.1846e+00  -1.3213e-02   7.7726e-04   8.5255e+05   8.6397e+05   4.3586e+06
  2.2281e+02   2.1959e+02   5.3898e+00   9.8841e-03   7.5216e-04   9.3171e+05   9.2259e+05   4.8862e+06
