## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8306e+00   1.0386e+00   3.9384e-03   3.0843e-03   3.4297e+03   2.2193e+04
  3.5313e+00   3.5616e+00   1.2683e+00   9.5343e-04   2.6084e-03   4.7954e+03   3.2873e+04
  4.4457e+00   4.4778e+00   1.4972e+00   1.7278e-03   2.1619e-03   6.9812e+03   4.8441e+04
  5.5968e+00   5.6576e+00   1.7311e+00  -1.2774e-03   1.7742e-03   1.0366e+04   7.3579e+04
  7.0460e+00   7.1214e+00   1.9612e+00   8.8292e-04   1.3883e-03   1.6929e+04   1.1673e+05
  8.8703e+00   8.9698e+00   2.1920e+00   5.5780e-04   1.0862e-03   2.7655e+04   1.8426e+05
  1.1167e+01   1.1274e+01   2.4205e+00   1.2381e-03   8.6720e-04   4.3386e+04   2.8950e+05
  1.4059e+01   1.4159e+01   2.6484e+00   2.6925e-03   7.3150e-04   6.0975e+04   4.2325e+05
  1.7699e+01   1.7933e+01   2.8847e+00   9.1897e-04   5.9155e-04   9.3239e+04   6.4960e+05
  2.2281e+01   2.2460e+01   3.1098e+00  -1.8744e-04   4.7033e-04   1.4750e+05   1.0138e+06
  2.8050e+01   2.8392e+01   3.3441e+00   2.7531e-04   3.7788e-04   2.2850e+05   1.5520e+06
  3.5313e+01   3.5643e+01   3.5715e+00   8.5370e-04   3.0841e-04   3.4302e+05   2.3323e+06
  4.4457e+01   4.4842e+01   3.8011e+00   1.3279e-03   2.5294e-04   5.0998e+05   3.4378e+06
  5.5968e+01   5.6476e+01   4.0318e+00   1.8764e-03   2.1200e-04   7.2598e+05   4.8805e+06
  7.0460e+01   7.1073e+01   4.2617e+00   2.2245e-03   1.7725e-04   1.0385e+06   7.0088e+06
  8.8703e+01   8.9556e+01   4.4929e+00   1.4370e-03   1.4438e-04   1.5653e+06   1.0488e+07
  1.1167e+02   1.1265e+02   4.7223e+00   8.7538e-04   1.1912e-04   2.2995e+06   1.5155e+07
  1.4059e+02   1.4187e+02   4.9529e+00   4.0106e-04   9.8762e-05   3.3451e+06   2.2025e+07
  1.7699e+02   1.7874e+02   5.1839e+00   3.4141e-04   8.0917e-05   4.9831e+06   3.2803e+07
  2.2281e+02   2.2277e+02   5.4040e+00   1.1956e-03   7.5857e-05   5.6701e+06   3.7329e+07
