## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8255e+00   1.0368e+00  -1.8530e-03   2.1338e-03   7.2720e+03   4.1487e+04
  3.5313e+00   3.5617e+00   1.2684e+00   1.0218e-03   1.7617e-03   1.0668e+04   6.1386e+04
  4.4457e+00   4.4865e+00   1.4992e+00   3.0039e-04   1.4748e-03   1.5222e+04   8.9703e+04
  5.5968e+00   5.6480e+00   1.7294e+00   5.5313e-04   1.2045e-03   2.2822e+04   1.3056e+05
  7.0460e+00   7.1139e+00   1.9602e+00   4.8207e-04   9.9449e-04   3.3478e+04   1.9048e+05
  8.8703e+00   8.9625e+00   2.1911e+00   5.3499e-05   8.0571e-04   5.1004e+04   2.8889e+05
  1.1167e+01   1.1275e+01   2.4207e+00   8.4651e-04   6.4710e-04   7.9071e+04   4.5456e+05
  1.4059e+01   1.4175e+01   2.6496e+00   9.6565e-04   5.3415e-04   1.1604e+05   6.6628e+05
  1.7699e+01   1.7880e+01   2.8817e+00   1.4422e-03   4.3990e-04   1.7110e+05   1.0039e+06
  2.2281e+01   2.2476e+01   3.1105e+00   1.1620e-03   3.5619e-04   2.6097e+05   1.5405e+06
  2.8050e+01   2.8378e+01   3.3436e+00   1.6873e-03   2.9144e-04   3.8981e+05   2.2961e+06
  3.5313e+01   3.5675e+01   3.5725e+00   1.3883e-03   2.3391e-04   6.0512e+05   3.5531e+06
  4.4457e+01   4.4927e+01   3.8030e+00   1.3956e-03   1.8890e-04   9.2793e+05   5.4283e+06
  5.5968e+01   5.6593e+01   4.0339e+00   9.1711e-04   1.5044e-04   1.4629e+06   8.6002e+06
  7.0460e+01   7.1208e+01   4.2636e+00   1.0558e-03   1.2079e-04   2.2694e+06   1.3298e+07
  8.8703e+01   8.9596e+01   4.4933e+00   1.1041e-03   9.7624e-05   3.4741e+06   2.0084e+07
  1.1167e+02   1.1298e+02   4.7252e+00   8.3606e-04   7.8174e-05   5.4179e+06   3.1431e+07
  1.4059e+02   1.4202e+02   4.9540e+00   4.8265e-04   6.2595e-05   8.4504e+06   4.8565e+07
  1.7699e+02   1.7869e+02   5.1836e+00   3.4485e-04   5.1223e-05   1.2619e+07   7.1920e+07
  2.2281e+02   2.2484e+02   5.4133e+00   3.2182e-04   4.3025e-05   1.7886e+07   1.0147e+08
