# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 1.033844056419908508e+00 1.705693182669899919e-03
3.531299999999999883e+00 1.027592308026833878e+00 1.590620341081381509e-03
4.445700000000000429e+00 1.023081168279979192e+00 1.642931576045528154e-03
5.596799999999999997e+00 1.018311712676398084e+00 1.702381966967034428e-03
7.046000000000000263e+00 1.015159019755697889e+00 1.682663682008754200e-03
8.870300000000000296e+00 1.013072440420760056e+00 1.639879073302101271e-03
1.116699999999999982e+01 1.010510986922480203e+00 1.641626680226722368e-03
1.405899999999999928e+01 1.008453916488664559e+00 1.664393342617593056e-03
1.769900000000000162e+01 1.006657406655550480e+00 1.539110611686130784e-03
2.228099999999999881e+01 1.005097900566769953e+00 1.495396851920954969e-03
2.805000000000000071e+01 1.004241957848734490e+00 1.348393383047445790e-03
3.531300000000000239e+01 1.003337851776549661e+00 1.271754247394321982e-03
4.445700000000000074e+01 1.001655278293282825e+00 1.287990329248725214e-03
5.596800000000000352e+01 1.000405018055552597e+00 1.300653563693767801e-03
7.045999999999999375e+01 1.000125135474568161e+00 1.254607537196622069e-03
8.870300000000000296e+01 1.000494910435875351e+00 1.140068457395819511e-03
1.116700000000000017e+02 1.000134016498662293e+00 1.113558402032507498e-03
1.405900000000000034e+02 9.998027948174921242e-01 1.100792829875690479e-03
1.769900000000000091e+02 9.989402003721679080e-01 1.062756421803888896e-03
2.228100000000000023e+02 9.980465484198927095e-01 1.173745346297084017e-03
