# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 9.289172142175645009e-04 1.256321596261960835e-04
3.531299999999999883e+00 9.598750982182832322e-04 9.845410500645141306e-05
4.445700000000000429e+00 6.426016478887324867e-04 7.876145618469257393e-05
5.596799999999999997e+00 5.032590855990274736e-04 7.913941213795633344e-05
7.046000000000000263e+00 3.096401252805062619e-04 6.322146151285098982e-05
8.870300000000000296e+00 2.564072356678904758e-04 3.870524849074806175e-05
1.116699999999999982e+01 2.524478849188865307e-04 3.235917070893106048e-05
1.405899999999999928e+01 2.096091445477808680e-04 3.256133926764656449e-05
1.769900000000000162e+01 1.925826403104682557e-04 2.469296901308092032e-05
2.228099999999999881e+01 1.411374163927192962e-04 2.023187290769568709e-05
2.805000000000000071e+01 1.200073564854721008e-04 1.733928004168600528e-05
3.531300000000000239e+01 9.256874922281287154e-05 1.588183999475845548e-05
4.445700000000000074e+01 7.992808630111565202e-05 1.464514872746178290e-05
5.596800000000000352e+01 6.798363520091004852e-05 1.374184509822651375e-05
7.045999999999999375e+01 6.764275369459236032e-05 1.316161019438616892e-05
8.870300000000000296e+01 4.984791102394714370e-05 1.005751291745024799e-05
1.116700000000000017e+02 4.327476701730789601e-05 1.042610546687684950e-05
1.405900000000000034e+02 3.367744218546775582e-05 1.079068364045389005e-05
1.769900000000000091e+02 1.876570682911318124e-05 8.974475836290135274e-06
2.228100000000000023e+02 6.353224397657344886e-06 8.094559653682762383e-06
