# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 9.582609645384814780e-04 1.294781898214858234e-04
3.531299999999999883e+00 9.858950069893059227e-04 1.008137096259922167e-04
4.445700000000000429e+00 6.571207116624585339e-04 8.050878684100110951e-05
5.596799999999999997e+00 5.133787836313072946e-04 8.035066484902590516e-05
7.046000000000000263e+00 3.146547938063493067e-04 6.393613295904413036e-05
8.870300000000000296e+00 2.598470204508078300e-04 3.912907551701389082e-05
1.116699999999999982e+01 2.549046057408565331e-04 3.258431677665115972e-05
1.405899999999999928e+01 2.113272571370686411e-04 3.274876887381899512e-05
1.769900000000000162e+01 1.937957570778020035e-04 2.483306600399392107e-05
2.228099999999999881e+01 1.418463646320614665e-04 2.029701086684349918e-05
2.805000000000000071e+01 1.205383750161352689e-04 1.737314431960699661e-05
3.531300000000000239e+01 9.290066539924699495e-05 1.590718124241855314e-05
4.445700000000000074e+01 8.007176422778518050e-05 1.465180714750690331e-05
5.596800000000000352e+01 6.800532970634405128e-05 1.374751894583126256e-05
7.045999999999999375e+01 6.765041167191970242e-05 1.315718908172450337e-05
8.870300000000000296e+01 4.987280273441110787e-05 1.005217354401609006e-05
1.116700000000000017e+02 4.327970584961583398e-05 1.042566345133330118e-05
1.405900000000000034e+02 3.367214918524613919e-05 1.078070451326480763e-05
1.769900000000000091e+02 1.875554587428635771e-05 8.966230918811970383e-06
2.228100000000000023e+02 6.389172948027373011e-06 8.082674227217699671e-06
