# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 2.089478979595157013e-05 1.081927568648507240e-04
3.531299999999999883e+00 -1.934449637851275248e-04 1.019445971306168154e-04
4.445700000000000429e+00 1.114168455396443282e-04 7.549951070898956035e-05
5.596799999999999997e+00 3.219755572569088503e-05 6.756354794420352315e-05
7.046000000000000263e+00 6.674577580520818705e-05 4.812442915820433026e-05
8.870300000000000296e+00 -3.046098572807461951e-06 5.123330888543718877e-05
1.116699999999999982e+01 -1.531916740933121662e-05 4.307068471401999952e-05
1.405899999999999928e+01 3.676001318469865391e-05 3.478548047245751508e-05
1.769900000000000162e+01 3.078710591199696151e-05 2.313792505408425907e-05
2.228099999999999881e+01 -5.113204423615586353e-06 1.980170681181215881e-05
2.805000000000000071e+01 3.448015113224600886e-07 1.753788651192321861e-05
3.531300000000000239e+01 1.051421986256845854e-05 1.331414811264710455e-05
4.445700000000000074e+01 -1.564982776805764906e-06 1.168640616712066626e-05
5.596800000000000352e+01 3.162418532999626660e-06 1.090115811133832370e-05
7.045999999999999375e+01 -5.255361738591741897e-06 7.750030977844032278e-06
8.870300000000000296e+01 -1.384713605695815635e-05 7.569587290246726904e-06
1.116700000000000017e+02 1.331581204943572098e-05 6.942986700909965684e-06
1.405900000000000034e+02 -8.707711797344846255e-09 5.748559951288083099e-06
1.769900000000000091e+02 1.295283839207501094e-06 5.393475604010081519e-06
2.228100000000000023e+02 -5.703803477029012719e-06 4.948965957035334439e-06
